index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
1,advanced facial & nasal surgery centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M4G5,edmonton,ab,,Edmonton,,48,,
2,agecare ó beverly centre glenmore,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V4S1,calgary,ab,,Calgary,,48,,
3,agecare ó beverly centre lake midnapore,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X3S3,calgary,ab,,Calgary,,48,,
4,agecare ó sagewood seniors community inc,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1P0E2,strathmore,ab,,Strathmore,,48,,
5,agecare ó seton,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3M2M3,calgary,ab,,Calgary,,48,,
6,agecare ó skypointe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3N0Y7,calgary,ab,,Calgary,,48,,
7,agecare ó valleyview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A7K5,medicine hat,ab,,Medicine Hat,,48,,
8,agecare ó walden heights seniors community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X0V1,calgary,ab,,Calgary,,48,,
9,airdrie community health centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4B3K7,airdrie,ab,,Airdrie,,48,,
10,alberta children's hospital,pediatric,Hospitals,Public Health Agency of Canada,,2888,shaganappi trail nw,T3B6A8,calgary,ab,2888 shaganappi trail n.w. calgary ab t3b 6a8,Calgary,4806016,48,51.1267877,-114.1329645
11,alberta hip and knee clinic,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5E5R8,edmonton,ab,,Edmonton,,48,,
12,alberta hospital edmonton,psychiatric,Hospitals,Public Health Agency of Canada,,17480,fort rd,T5J2J7,edmonton,ab,17480 fort rd. edmonton ab t5j 2j7,Edmonton,4811061,48,53.636387,-113.374023
13,alberta surgical centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M3Z7,edmonton,ab,,Edmonton,,48,,
14,allen gray continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6L7G1,edmonton,ab,,Edmonton,,48,,
15,athabasca healthcare centre,general,Hospitals,Public Health Agency of Canada,,3100,48 ave,T9S1M9,athabasca,ab,3100 - 48th ave. athabasca ab t9s 1m9,Athabasca,4813048,48,54.71724,-113.254056
16,audrey chan professional corporation,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,
17,barrhead community cancer centre,,Hospitals,Province of Alberta,,4815,51 avenue,T7N1M1,barrhead,ab,"4815 ñ 51 avenue barrhead, alberta, t7n 1m1",Barrhead,4813019,48,54.1196258,-114.4015147
18,barrhead healthcare centre,general,Hospitals,Public Health Agency of Canada,,4815,51 ave,T7N1M1,barrhead,ab,4815 - 51st ave. barrhead ab t7n 1m1,Barrhead,4813019,48,54.1197041,-114.4001676
19,"barry lycka md, cosmetic dermatologist",active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,
20,bashaw care centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B0H0,bashaw,ab,,Bashaw,,48,,
21,bassano health centre,general,Hospitals,Public Health Agency of Canada,,608,5 ave,T0J0B0,bassano,ab,608 - 5th ave. bassano ab t0j 0b0,Bassano,4802039,48,50.7892616,-112.461057
22,beaverlodge municipal hospital,general,Hospitals,Public Health Agency of Canada,,422,10a st,T0H0C0,beaverlodge,ab,422 - 10a st. beaverlodge ab t0h 0c0,Beaverlodge,4819009,48,55.2136098,-119.4240928
23,bentley care centre,extended care,Hospitals,Public Health Agency of Canada,,4834,52 ave,T0C0J0,bentley,ab,4834 - 52nd ave. bentley ab t0c 0j0,Bentley,4808026,48,52.467744,-114.04616
24,bethany care society ó bethany airdrie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4B2C4,airdrie,ab,,Airdrie,,48,,
25,bethany care society ó bethany calgary,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N1C6,calgary,ab,,Calgary,,48,,
