index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
2401,"(georgian, trillium & sunset manors) corporation of the county of simcoe",community support service,Ambulatory health care services,Province of Ontario,,1110,highway 26,L0L1X0,midhurst,on,,Springwater,3543009.0,35,44.44491511,-79.74484567
2402,147 elder street inc.,retirement home,Nursing and residential care facilities,Province of Ontario,,147,elder street,M3H5G9,toronto,on,,Toronto,3520005.0,35,43.762894200000005,-79.45410882
2403,2 spirited people of the 1st nations,community support service,Ambulatory health care services,Province of Ontario,,145,front street e,M5A1E3,toronto,on,,Toronto,3520005.0,35,43.64982129,-79.36935038
2404,"3 c's reintroduction centre, the",mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,226,dog lake road,P7G2G2,thunder bay,on,,Thunder Bay,3558004.0,35,48.48675977,-89.32152099999999
2405,RÈsidence St. FranÁois,retirement home,Nursing and residential care facilities,Province of Ontario,,790,rue principale,K0A1M0,casselman,on,,Casselman,3502044.0,35,45.31639206,-75.09025213
2406,a better way retirement home corp.,retirement home,Nursing and residential care facilities,Province of Ontario,,22,purpledusk trail,M1E4C7,toronto,on,,Toronto,3520005.0,35,43.78366142,-79.20760054
2407,a-way express courier service,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,2168,danforth avenue,M4C1K3,toronto,on,,Toronto,3520005.0,35,43.68664259,-79.31066676
2408,aamjiwnaag first nation chippewas of sarnia (css),community support service,Ambulatory health care services,Province of Ontario,,978,tashmoo avenue,N7T7H5,sarnia,on,,Sarnia 45,3538025.0,35,42.93600731,-82.41599187
2409,aamjiwnaang first nation chippewas of sarnia,community support service,Ambulatory health care services,Province of Ontario,,978,tashmoo avenue,N7T7H5,sarnia,on,,Sarnia 45,3538025.0,35,42.93600731,-82.41599187
2410,abbeylawn manor retirement home,retirement home,Nursing and residential care facilities,Province of Ontario,,534,rodd avenue,L1W2B2,pickering,on,,Pickering,3518001.0,35,43.79773372,-79.11423721
2411,aberdeen gardens retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,330,dundurn street s,L8P4L6,hamilton,on,,Hamilton,3525005.0,35,43.25164109,-79.89294681
2412,aberdeen health & community services,community support service,Ambulatory health care services,Province of Ontario,,446,grey street,N3S7L6,brantford,on,,Brantford,3529006.0,35,43.14755536,-80.23320331
2413,abi possibilities,community support service,Ambulatory health care services,Province of Ontario,,208,evans avenue,M8Z1J7,toronto,on,,Toronto,3520005.0,35,43.61822987,-79.51489762
2414,abington court,retirement home,Nursing and residential care facilities,Province of Ontario,,1500,main street e,L8K1E1,hamilton,on,,Hamilton,3525005.0,35,43.23895509,-79.80581978
