Antipsychotic Medication Use (%)‡*,Depression (%)*,Falls (%)‡*,Home Name,Pain (%)*,Physical Restraints Use (%)‡*,Placements for referrals from all prior locations (days)◊α,Placements for referrals from community (days)◊α,Placements for referrals from hospital (days)◊α,Pressure Ulcers (%)‡*,cleaned_home_name,index,matched,name1,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,city,postal_code_x,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
26,34.8,19.5,Albright Gardens Homes Inc.,2.3,5.4,342,331,436.5,3.8,albright gardens homes inc.,,False,albright gardens,5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Beamsville, L0R1B2,39.0,25.0,15.0,18.0,10.0,6.0,12.0,7.0,6.0,7.0,7.0,3.0,albright gardens,<5,0,0,Active,Lincoln,3526057.0,43.15187669,-79.47659767,231.0
41.4,42.4,14.2,Atikokan General Hospital,11.2,9,261,LV,261,8.4,atikokan general hospital,,True,atikokan general hospital,120 Dorothy Street,North West,Non-Profit,No,No,Yes,Yes,Atikokan, P0T1C0,11.0,7.0,4.0,1.0,,,2.0,1.0,1.0,3.0,2.0,1.0,atikokan general hospital,,,,,Atikokan,3559001.0,48.754155,-91.597609,26.0
29.2,13,20.9,Bella Senior Care Residences Inc.,7.4,2.2,91,100,29,4.5,bella senior care residences inc.,,False,bella senior care residences,8720 Willoughby Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Niagara Falls, L2G7X3,67.0,46.0,13.0,35.0,22.0,5.0,12.0,8.0,4.0,18.0,12.0,3.0,bella senior care residences,,,,,Niagara Falls,3526043.0,43.05084229,-79.04543772,161.0
21.2,16.8,15.8,Berkshire Care Centre,3.8,6.4,32.5,34,26,3.9,berkshire care centre,,True,berkshire care centre,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4P4,172.0,72.0,25.0,94.0,34.0,9.0,59.0,26.0,12.0,12.0,8.0,4.0,berkshire care centre,,0,,Inactive,Windsor,3537039.0,42.31631637,-83.04161991,231.0
11.5,30,16.3,Centre d'accueil Roger-Séguin,0.3,6.1,112,109,153.5,1.3,centre d'accueil roger-seguin,,False,centre d'accueil roger seguin,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No,Clarence Creek, K0A1N0,51.0,30.0,20.0,8.0,2.0,,19.0,14.0,14.0,16.0,8.0,4.0,centre d'accueil roger seguin,,0,,Inactive,Clarence-Rockland,3502036.0,45.51025689,-75.21616879,113.0
29.8,23,10.5,Copernicus Lodge,2.1,4.9,275,279,LV,2.1,copernicus lodge,,True,copernicus lodge,66 Roncesvalles Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,No,Toronto, M6R3A7,24.0,18.0,9.0,12.0,10.0,6.0,4.0,3.0,2.0,5.0,4.0,1.0,copernicus lodge,,0,,Inactive,Toronto,3520005.0,43.64020808,-79.447311,228.0
28.8,6.5,13.6,Elm Grove Living Centre Inc.,0.2,0,131,139,LV,2,elm grove living centre inc.,,False,elm grove living centre,35 Elm Grove Avenue,Toronto Central,For-Profit,No,Yes,No,Yes,Toronto, M6K2J2,15.0,10.0,5.0,7.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,elm grove living centre,,18,,Inactive,Toronto,3520005.0,43.64031588,-79.4307008,126.0
16.1,47,21.6,Fairview Mennonite Home,2.8,2.9,110,137,LV,3.1,fairview mennonite home,,True,fairview mennonite home,515 Langs Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3H5E4,18.0,13.0,6.0,6.0,5.0,2.0,3.0,2.0,2.0,6.0,6.0,3.0,fairview mennonite home,,,,,Cambridge,3530010.0,43.3985564,-80.34314607,84.0
62.8,7.5,5.2,Geraldton District Hospital,48,8.8,500,LV,504,1.4,geraldton district hospital,,True,geraldton district hospital,500 Hogarth Avenue West,North West,Non-Profit,No,Yes,Yes,Yes,Geraldton, P0T1M0,13.0,9.0,2.0,1.0,1.0,,4.0,3.0,1.0,5.0,3.0,,geraldton district hospital,,,,,Greenstone,3558075.0,49.7226939,-86.9547123,19.0
12.3,30,18.3,Grove Park Home for Senior Citizens,6.4,1.5,226,226,LV,4.1,grove park home for senior citizens,,True,grove park home for senior citizens,234 Cook Street,North Simcoe Muskoka,Non-Profit,No,Yes,No,Yes,Barrie, L4M4H5,22.0,14.0,8.0,5.0,3.0,3.0,8.0,5.0,4.0,3.0,1.0,,grove park home for senior citizens,,,,,Barrie,3543042.0,44.406020700000006,-79.66946724,143.0
