name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,CSDname,CSDuid,latitude,longitude
AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Sarnia, N7S6L6,67.0,34.0,9.0,29.0,15.0,3.0,28.0,13.0,5.0,5.0,2.0,,afton park place long term care community,,,,,128.0,Sarnia,3538030.0,42.97632532,-82.36144406
"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Beamsville, L0R1B2,39.0,25.0,15.0,18.0,10.0,6.0,12.0,7.0,6.0,7.0,7.0,3.0,albright gardens,<5,0,0,Active,231.0,Lincoln,3526057.0,43.15187669,-79.47659767
ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Waterdown, L0R2H0,28.0,17.0,8.0,11.0,6.0,3.0,8.0,5.0,2.0,4.0,4.0,2.0,alexander place,<5,0,0,Active,128.0,Hamilton,3525005.0,43.34234541,-79.90081952
ALGOMA MANOR NURSING HOME,145 Dawson Street,North East,Non-Profit,Yes,Yes,Yes,Yes,,Thessalon, P0R1L0,23.0,14.0,7.0,7.0,5.0,2.0,3.0,2.0,1.0,6.0,3.0,1.0,algoma manor nursing home,,,,,96.0,Thessalon,3557028.0,46.2634618,-83.56324898
ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,North East,Non-Profit,Yes,Yes,Yes,Yes,,Mattawa, P0H1V0,23.0,14.0,5.0,3.0,1.0,,11.0,7.0,4.0,5.0,3.0,,algonquin nursing home,,,,,73.0,Mattawa,3548021.0,46.31349257,-78.71984132
ALLENDALE,185 Ontario Street South,Mississauga Halton,Municipal,No,Yes,Yes,Yes,,Milton, L9T2M4,39.0,21.0,16.0,16.0,9.0,6.0,14.0,6.0,6.0,11.0,7.0,6.0,allendale,,0,,Inactive,200.0,Milton,3524009.0,43.51655054,-79.87240973
ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,Yes,,Almonte, K0A1A0,49.0,27.0,10.0,22.0,12.0,4.0,19.0,11.0,5.0,3.0,2.0,1.0,almonte country haven,0,30,0,Active,82.0,Mississippi Mills,3509030.0,45.2188403,-76.19075728
ALTAMONT CARE COMMUNITY,92 Island Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1C2P5,33.0,19.0,12.0,11.0,4.0,4.0,13.0,8.0,4.0,7.0,7.0,3.0,altamont care community,<5,52,24,Active,159.0,Toronto,3520005.0,43.79854962,-79.14005432
ANSON PLACE CARE CENTRE,85 Main Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes,,Hagersville, N0A1H0,22.0,12.0,6.0,11.0,5.0,3.0,6.0,4.0,3.0,1.0,,,anson place care centre,28,23,29,Active,61.0,Haldimand County,3528018.0,42.96738873,-80.04801284
ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,,Hamilton, L8G1J3,60.0,20.0,14.0,29.0,8.0,7.0,14.0,3.0,3.0,16.0,6.0,3.0,arbour creek long-term care centre,,0,,Inactive,129.0,Hamilton,3525005.0,43.22141329,-79.77670807
ARBOUR HEIGHTS,564 Tanner Drive,South East,For-Profit,No,Yes,Yes,Yes,,Kingston, K7M0C3,70.0,33.0,13.0,29.0,11.0,4.0,23.0,14.0,7.0,13.0,7.0,2.0,arbour heights,,,,,174.0,Kingston,3510010.0,44.23937071,-76.55865852
ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,North West,Non-Profit,No,No,Yes,Yes,,Atikokan, P0T1C0,11.0,7.0,4.0,1.0,,,2.0,1.0,1.0,3.0,2.0,1.0,atikokan general hospital,,,,,26.0,Atikokan,3559001.0,48.754155,-91.597609
AU CHATEAU,100 Michaud Street,North East,Municipal,Yes,Yes,Yes,No,,Sturgeon Falls, P2B2Z4,47.0,28.0,13.0,18.0,9.0,4.0,14.0,7.0,4.0,14.0,12.0,6.0,au chateau,,,,,162.0,West Nipissing / Nipissing Ouest,3548055.0,46.37203452,-79.92058532
AVALON RETIREMENT CENTRE,355 Broadway Avenue,Central West,For-Profit,Yes,Yes,Yes,Yes,,Orangeville, L9W3Y3,30.0,16.0,10.0,15.0,8.0,5.0,8.0,3.0,3.0,7.0,5.0,3.0,avalon retirement centre,,0,,Inactive,137.0,Orangeville,3522014.0,43.9169995,-80.11650514
BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,South West,For-Profit,No,Yes,Yes,Yes,,Wardsville, N0L2N0,32.0,17.0,10.0,6.0,4.0,3.0,18.0,8.0,5.0,3.0,2.0,1.0,babcock community care centre,,,,,60.0,Southwest Middlesex,3539005.0,42.6583997,-81.75796234
BANWELL GARDENS CARE CENTRE,3000 Banwell Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Tecumseh, N8N2M4,74.0,36.0,16.0,34.0,23.0,11.0,31.0,8.0,3.0,3.0,3.0,,banwell gardens care centre,,0,,Inactive,142.0,Windsor,3537039.0,42.31060008,-82.89979807
BARNSWALLOW PLACE CARE COMMUNITY,120 Barnswallow Drive,Waterloo Wellington,For-Profit,No,Yes,No,Yes,,Elmira, N3B2Y9,17.0,9.0,3.0,3.0,1.0,1.0,9.0,3.0,2.0,1.0,1.0,,barnswallow place care community,,,,,96.0,Woolwich,3530035.0,43.59297082,-80.57796106
BAY HAVEN NURSING HOME,499 Hume Street,North Simcoe Muskoka,For-Profit,No,Yes,No,No,,Collingwood, L9Y4H8,14.0,10.0,6.0,4.0,3.0,2.0,4.0,4.0,4.0,,,,bay haven nursing home,,,,,60.0,Collingwood,3543031.0,44.49946329,-80.19803202
BAY RIDGES,900 Sandy Beach Road,Central East,For-Profit,No,Yes,Yes,Yes,,Pickering, L1W1Z4,53.0,26.0,12.0,27.0,12.0,7.0,18.0,7.0,3.0,5.0,5.0,,bay ridges,,0,,Inactive,124.0,Pickering,3518001.0,43.82847003,-79.0771309
BAYFIELD MANOR,100 Elvira Street P.O. Bag 3000,Champlain,For-Profit,No,Yes,Yes,No,,Kemptville, K0G1J0,22.0,17.0,4.0,3.0,2.0,,7.0,7.0,3.0,5.0,4.0,,bayfield manor,,,,,66.0,North Grenville,3507065.0,45.01874519,-75.65323739
BAYWOODS PLACE,330 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Hamilton, L8N3T9,47.0,18.0,12.0,23.0,9.0,7.0,14.0,5.0,5.0,7.0,1.0,,baywoods place,,,,,128.0,Hamilton,3525005.0,43.25176169,-79.85694240000002
BELLA SENIOR CARE RESIDENCES INC.,8720 Willoughby Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Niagara Falls, L2G7X3,67.0,46.0,13.0,35.0,22.0,5.0,12.0,8.0,4.0,18.0,12.0,3.0,bella senior care residences,,,,,161.0,Niagara Falls,3526043.0,43.05084229,-79.04543772
BELMONT HOUSE,55 Belmont Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M5R1R1,13.0,8.0,6.0,2.0,,,4.0,3.0,3.0,2.0,2.0,2.0,belmont house,,0,,Inactive,140.0,Toronto,3520005.0,43.67461349,-79.39106979
BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,South East,For-Profit,No,Yes,No,Yes,,Belleville, K8P5N3,35.0,20.0,8.0,11.0,3.0,1.0,15.0,11.0,5.0,3.0,1.0,,belmont long term care facility,,0,,Inactive,128.0,Belleville,3512005.0,44.16007616,-77.40393509
BELVEDERE HEIGHTS,21 Belvedere Avenue,North East,Municipal,No,Yes,Yes,Yes,,Parry Sound, P2A2A2,40.0,23.0,13.0,15.0,6.0,4.0,10.0,7.0,5.0,17.0,11.0,4.0,belvedere heights,,,,,101.0,Parry Sound,3549032.0,45.34272524,-80.03862375
BENDALE ACRES,2920 Lawrence Avenue East,Central East,Municipal,Yes,Yes,Yes,Yes,"pavillon omer deslauriers, 37 beds, long term care services provided in french and english. ",Scarborough, M1P2T8,35.0,17.0,10.0,16.0,7.0,5.0,12.0,5.0,4.0,6.0,4.0,2.0,bendale acres,,0,,Inactive,302.0,Toronto,3520005.0,43.75493801,-79.25183955
BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,,Georgetown, L7G2B8,24.0,14.0,6.0,8.0,3.0,2.0,8.0,4.0,3.0,6.0,6.0,3.0,bennett health care centre,<5,0,0,Active,66.0,Halton Hills,3524015.0,43.64477486,-79.93394806
BERKSHIRE CARE CENTRE,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N9A4P4,172.0,72.0,25.0,94.0,34.0,9.0,59.0,26.0,12.0,12.0,8.0,4.0,berkshire care centre,,0,,Inactive,231.0,Windsor,3537039.0,42.31631637,-83.04161991
BETHAMMI NURSING HOME,63 Carrie Street,North West,Non-Profit,No,Yes,Yes,Yes,,Thunder Bay, P7A4J2,35.0,29.0,19.0,7.0,5.0,3.0,10.0,7.0,5.0,16.0,15.0,10.0,bethammi nursing home,,,,,110.0,Thunder Bay,3558004.0,48.44135877,-89.24131667
BETHANY LODGE,23 Second Street,Central,Non-Profit,No,Yes,Yes,No,,Markham, L3R2C2,17.0,13.0,5.0,2.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,,bethany lodge,,<5,,Inactive,128.0,Markham,3519036.0,43.86204073,-79.30139068
BILLINGS COURT MANOR,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7N3N6,24.0,16.0,8.0,8.0,5.0,4.0,4.0,3.0,2.0,7.0,6.0,3.0,billings court manor,,,,,160.0,Burlington,3524002.0,43.36439192,-79.78777539
BIRCHWOOD TERRACE,237 Lakeview Drive R. R. #1,North West,For-Profit,Yes,Yes,Yes,Yes,,Kenora, P9N4J7,53.0,31.0,14.0,19.0,10.0,5.0,19.0,9.0,5.0,20.0,17.0,6.0,birchwood terrace,,,,,96.0,Kenora,3560010.0,49.76559284,-94.504978
BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,,Dundas, L9H3B7,31.0,19.0,9.0,10.0,3.0,1.0,4.0,3.0,2.0,11.0,9.0,6.0,blackadar continuing care centre,,0,,Inactive,80.0,Hamilton,3525005.0,43.26120069,-79.96830854
BLENHEIM COMMUNITY VILLAGE,10 Mary Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Blenheim, N0P1A0,33.0,11.0,5.0,7.0,3.0,1.0,15.0,4.0,3.0,4.0,,,blenheim community village,,,,,65.0,Chatham-Kent,3536020.0,42.33971663,-81.98799919
BLOOMINGTON COVE CARE COMMUNITY,13621 Ninth  Line RR #2,Central,For-Profit,Yes,Yes,Yes,Yes,,Stouffville, L4A7X3,39.0,18.0,11.0,18.0,9.0,6.0,13.0,4.0,3.0,6.0,3.0,1.0,bloomington cove care community,,,,,112.0,Whitchurch-Stouffville,3519044.0,44.00278365,-79.26290138
BLUE WATER REST HOME,37792 Zurich-Hensall RD,South West,Non-Profit,No,Yes,No,No,,Zurich, N0M2T0,21.0,13.0,4.0,6.0,3.0,,8.0,5.0,3.0,1.0,1.0,,blue water rest home,,0,,Inactive,65.0,Bluewater,3540010.0,43.41978964,-81.63774028
BOB RUMBALL HOME FOR THE DEAF,1 Royal Parkside Drive,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,No,,Barrie, L4M0C4,35.0,17.0,7.0,12.0,5.0,,8.0,5.0,3.0,15.0,9.0,3.0,bob rumball home for the deaf,,,,,64.0,Barrie,3543042.0,44.3641363,-79.62310322
BOBIER VILLA,1 Bobier Lane,South West,Municipal,Yes,Yes,Yes,No,,Dutton, N0L1J0,19.0,8.0,2.0,4.0,3.0,1.0,10.0,1.0,,,,,bobier villa,,,,,57.0,Dutton/Dunwich,3534030.0,42.66709281,-81.51387127
BON AIR LONG TERM CARE RESIDENCE,131 Laidlaw Street South,Central East,For-Profit,Yes,Yes,Yes,Yes,,Cannington, L0E1E0,21.0,11.0,5.0,7.0,2.0,2.0,7.0,5.0,3.0,2.0,,,chartwell bon air long term care residence,,,,,57.0,Brock,3518039.0,44.34590892,-79.03751134
BONNECHERE MANOR,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes,,Renfrew, K7V4L5,43.0,18.0,11.0,14.0,5.0,4.0,21.0,8.0,5.0,3.0,1.0,1.0,bonnechere manor,,0,,Inactive,180.0,Renfrew,3547048.0,45.48345932,-76.70256458
BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,Central,For-Profit,No,Yes,Yes,Yes,,Bradford, L3Z3H5,40.0,19.0,8.0,20.0,8.0,3.0,14.0,7.0,4.0,10.0,7.0,2.0,bradford valley care community,,12,,Inactive,246.0,Bradford West Gwillimbury,3543014.0,44.09967975,-79.57244678
BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,No,Yes,No,Yes,,Wingham, N0G2W0,39.0,14.0,6.0,18.0,7.0,2.0,10.0,3.0,3.0,13.0,6.0,1.0,braemar retirement centre,,0,,Inactive,69.0,Morris-Turnberry,3540050.0,43.90065854,-81.30031372
BRIERWOOD GARDENS,425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Brantford, N3R7G5,55.0,15.0,9.0,20.0,3.0,1.0,13.0,5.0,4.0,26.0,7.0,4.0,brierwood gardens,,,,,79.0,Brantford,3529006.0,43.17853986,-80.24747732
BROADVIEW NURSING CENTRE,210 Brockville Street,South East,For-Profit,No,Yes,No,No,,Smiths Falls, K7A3Z4,32.0,19.0,11.0,13.0,7.0,5.0,11.0,8.0,5.0,3.0,1.0,1.0,broadview nursing centre,,,,,75.0,Smiths Falls,3509004.0,44.88786035,-76.02083780000002
BROUILLETTE MANOR,11900 Brouillette Court,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Tecumseh, N8N4X8,33.0,13.0,4.0,7.0,1.0,,15.0,7.0,3.0,3.0,,,brouillette manor,,,,,60.0,Tecumseh,3537048.0,42.3064019,-82.8920717
BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,South West,Municipal,No,Yes,No,No,,Walkerton, N0G2V0,79.0,28.0,17.0,33.0,6.0,2.0,22.0,6.0,2.0,14.0,11.0,9.0,brucelea haven long term care home - corporation of the county of bruce,,0,,Inactive,144.0,Brockton,3541032.0,44.12121858,-81.15427199
