name,cleaned_name,address,LHIN,home_type,city,postal_code,short_stay,residents_council,family_council,accreditation,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,antipsychotic_percent,depression_percent,falls_percent,pressure_ulcers_percent,pain_percent,restraints_percent,confirmed_resident_cases,resident_deaths,confirmed_staff_cases,status,number_beds,CSDname,CSDuid,latitude,longitude
"ALBRIGHT GARDENS HOMES, INCORPORATED",albright gardens,5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Beamsville, L0R1B2,No,Yes,Yes,No,39,25,15,18,10,6,12,7,6,7,7,3,26,34.8,19.5,3.8,2.3,5.4,<5,0,0,Active,231,Lincoln,3526057,43.15187669,-79.47659767
ATIKOKAN GENERAL HOSPITAL,atikokan general hospital,120 Dorothy Street,North West,Non-Profit,Atikokan, P0T1C0,No,No,Yes,Yes,11,7,4,1,0,0,2,1,1,3,2,1,41.4,42.4,14.2,8.4,11.2,9,,,,,26,Atikokan,3559001,48.754155,-91.597609
BELLA SENIOR CARE RESIDENCES INC.,bella senior care residences,8720 Willoughby Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Niagara Falls, L2G7X3,No,Yes,Yes,Yes,67,46,13,35,22,5,12,8,4,18,12,3,29.2,13,20.9,4.5,7.4,2.2,,,,,161,Niagara Falls,3526043,43.05084229,-79.04543772
BERKSHIRE CARE CENTRE,berkshire care centre,350 Dougall Avenue,Erie St. Clair,For-Profit,Windsor, N9A4P4,No,Yes,Yes,Yes,172,72,25,94,34,9,59,26,12,12,8,4,21.2,16.8,15.8,3.9,3.8,6.4,,0,,Inactive,231,Windsor,3537039,42.31631637,-83.04161991
CENTRE D'ACCUEIL ROGER SEGUIN,centre d'accueil roger seguin,435 Lemay Street,Champlain,Non-Profit,Clarence Creek, K0A1N0,Yes,Yes,Yes,No,51,30,20,8,2,0,19,14,14,16,8,4,11.5,30,16.3,1.3,0.3,6.1,,0,,Inactive,113,Clarence-Rockland,3502036,45.51025689,-75.21616879
COPERNICUS LODGE,copernicus lodge,66 Roncesvalles Avenue,Toronto Central,Non-Profit,Toronto, M6R3A7,Yes,Yes,Yes,No,24,18,9,12,10,6,4,3,2,5,4,1,29.8,23,10.5,2.1,2.1,4.9,,0,,Inactive,228,Toronto,3520005,43.64020808,-79.447311
ELM GROVE LIVING CENTRE,elm grove living centre,35 Elm Grove Avenue,Toronto Central,For-Profit,Toronto, M6K2J2,No,Yes,No,Yes,15,10,5,7,2,2,3,3,2,1,1,1,28.8,6.5,13.6,2,0.2,0,,18,,Inactive,126,Toronto,3520005,43.64031588,-79.4307008
FAIRVIEW MENNONITE HOME,fairview mennonite home,515 Langs Drive,Waterloo Wellington,Non-Profit,Cambridge, N3H5E4,No,Yes,Yes,Yes,18,13,6,6,5,2,3,2,2,6,6,3,16.1,47,21.6,3.1,2.8,2.9,,,,,84,Cambridge,3530010,43.3985564,-80.34314607
GERALDTON DISTRICT HOSPITAL,geraldton district hospital,500 Hogarth Avenue West,North West,Non-Profit,Geraldton, P0T1M0,No,Yes,Yes,Yes,13,9,2,1,1,0,4,3,1,5,3,0,62.8,7.5,5.2,1.4,48,8.8,,,,,19,Greenstone,3558075,49.7226939,-86.9547123
GROVE PARK HOME FOR SENIOR CITIZENS,grove park home for senior citizens,234 Cook Street,North Simcoe Muskoka,Non-Profit,Barrie, L4M4H5,No,Yes,No,Yes,22,14,8,5,3,3,8,5,4,3,1,0,12.3,30,18.3,4.1,6.4,1.5,,,,,143,Barrie,3543042,44.4060207,-79.66946724
HELLENIC CARE FOR SENIORS (TORONTO),hellenic care for seniors (toronto),215 Tyrrel Avenue,Toronto Central,Non-Profit,Toronto, M6G4A9,No,Yes,No,Yes,20,10,6,9,2,2,4,3,3,1,1,1,8.7,8.4,3.8,0.6,0.6,0.2,0,0,<5,Active,81,Toronto,3520005,43.67679399,-79.430342
HERITAGE GREEN NURSING HOME,heritage green nursing home,353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Stoney Creek, L8J2J3,No,Yes,Yes,Yes,61,27,16,23,10,7,11,4,3,28,11,3,28.9,17.9,13.1,3.3,0.9,9.3,,<5,,Inactive,167,Hamilton,3525005,43.19352179,-79.78959737
HIGHLAND WOOD,highland wood,7199 Gelert Road P.O. Box 115,Central East,Non-Profit,Haliburton, K0M1S0,No,Yes,Yes,Yes,15,10,6,2,2,2,4,2,2,2,2,1,16,36.5,22.6,1.6,16.7,7.7,,,,,30,Dysart et al,3546024,45.03824146,-78.52941943
HORNEPAYNE COMMUNITY HOSPITAL,hornepayne community hospital,278 Front Street P.O. Box 190,North East,Non-Profit,Hornepayne, P0M1Z0,No,No,No,Yes,11,7,4,2,0,0,0,0,0,6,6,3,2,15.6,10.5,0,3.4,0,,,,,12,Hornepayne,3557096,49.212827,-84.774059
IDLEWYLD MANOR,idlewyld manor,449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Hamilton, L9C2A7,No,Yes,Yes,Yes,58,19,11,26,5,3,19,5,4,14,10,6,22.4,31.9,14.2,4.4,8.9,3.2,,0,,Inactive,192,Hamilton,3525005,43.23618909,-79.91485732
