,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
0,Afton Park Place Long Term Care Community,Sarnia,128,0,0,<5,Active
1,Almonte Country Haven,Almonte,82,<5,29,<5,Active
2,Anson Place Care Centre,Hagersville,61,0,23,<5,Active
3,Billings Court Manor,Burlington,160,0,<5,0,Active
4,Burton Manor,Brampton,128,0,12,<5,Active
5,CAMA Woodlands Nursing Home,Burlington,134,0,0,<5,Active
6,Camilla Care Community,Mississauga,236,<5,68,<5,Active
7,Castleview Wychwood Towers,Toronto,456,<5,0,<5,Active
8,Chartwell Trilogy Long Term Care Residence,Scarborough,197,0,0,<5,Active
9,Chester Village,Toronto,203,<5,0,<5,Active
10,Cooksville Care Centre,Mississauga,192,<5,21,<5,Active
11,Creek Way Village,Burlington,144,<5,0,0,Active
12,Crescent Park Lodge,Fort Erie,68,0,0,<5,Active
13,Deerwood Creek Care Community,Etobicoke,160,0,0,<5,Active
14,Eatonville Care Centre,Etobicoke,247,0,42,<5,Active
15,Elgin Abbey Nursing Home,Chesley,27,0,0,<5,Active
16,Extendicare Brampton,Brampton,150,0,<5,<5,Active
17,Extendicare Guildwood,Scarborough,169,<5,48,40,Active
18,Fairview Nursing Home,Toronto,108,0,0,<5,Active
19,Fenelon Court,Fenelon Falls,67,<5,0,0,Active
20,Fieldstone Commons Care Community,Scarborough,224,<5,0,<5,Active
21,Forest Heights,Kitchener,240,<5,51,10,Active
22,Fudger House,Toronto,250,0,0,<5,Active
23,Garden City Manor,St. Catharines,200,<5,0,<5,Active
24,Garden Court Nursing Home,Etobicoke,45,6,8,10,Active
25,Garry J. Armstrong Home,Ottawa,180,0,0,<5,Active
26,Glebe Centre,Ottawa,254,0,0,<5,Active
27,Hawthorn Woods Care Community,Brampton,160,0,0,<5,Active
28,Hellenic Home - Scarborough,Scarborough,128,<5,15,5,Active
29,Ina Grafton Gage Home,Scarborough,128,0,31,<5,Active
30,Kipling Acres,Etobicoke,337,0,16,<5,Active
31,Maple Grove Care Community,Brampton,160,0,<5,0,Active
32,Midland Gardens Care Community,Scarborough,299,28,36,27,Active
33,Montfort,Ottawa,128,0,30,<5,Active
34,Nisbet Lodge,Toronto,103,12,<5,18,Active
35,Norview Lodge,Simcoe,179,0,0,<5,Active
36,peopleCare A.R. Goudie Kitchener,Kitchener,80,<5,9,18,Active
37,peopleCare Oakcrossing London,London,160,<5,0,0,Active
38,Peter D. Clark Centre,Ottawa,216,<5,7,7,Active
39,ReachView Village,Uxbridge,100,0,17,<5,Active
40,Residence Saint-Louis,Ottawa,198,0,9,<5,Active
41,River Glen Haven Nursing Home,Sutton West,119,<5,34,5,Active
42,Seven Oaks,Scarborough,249,<5,41,<5,Active
43,Simcoe Manor Home for the Aged,Beeton,126,<5,0,0,Active
44,St. Clair O'Connor Community Nursing Home,East York,25,0,8,<5,Active
45,St. George Care Community,Toronto,238,0,0,<5,Active
46,Stayner Care Centre,Stayner,49,0,0,<5,Active
47,Sunnyside Home,Kitchener,263,<5,0,<5,Active
48,The Perley and Rideau Veterans' Health Centre,Ottawa,450,<5,12,<5,Active
49,The Village of Aspen Lake,Windsor,192,0,0,<5,Active
50,The Village of Humber Heights,Etobicoke,192,11,22,10,Active
51,The Village of Sandalwood Park,Brampton,120,0,0,<5,Active
52,True Davidson Acres,Toronto,187,7,<5,<5,Active
53,Ukrainian Canadian Care Centre,Etobicoke,152,13,5,12,Active
54,Villa Colombo Homes for the Aged,Toronto,391,20,24,6,Active
55,Villa Leonardo Gambin,Woodbridge,168,<5,12,<5,Active
56,West Park Long Term Care Centre,Toronto,200,<5,29,<5,Active
57,Westmount Gardens Long Term Care Home,London,160,0,0,<5,Active
58,Weston Terrace Care Community,Toronto,224,<5,34,9,Active
59,Winbourne Park,Ajax,110,0,0,<5,Active
60,Woodbridge Vista Care Community,Woodbridge,224,12,23,43,Active
61,Woodhall Park Care Community,Brampton,147,<5,0,0,Active
0,"Albright Gardens Homes, Incorporated",Beamsville,231,,0,,Inactive
1,Alexander Place,Waterdown,128,,0,,Inactive
2,Allendale,Milton,200,,0,,Inactive
3,Altamont Care Community,Scarborough,159,,53,,Inactive
4,Arbour Creek Long-Term Care Centre,Hamilton,129,,0,,Inactive
5,Avalon Retirement Centre,Orangeville,137,,0,,Inactive
6,Banwell Gardens Care Centre,Tecumseh,142,,0,,Inactive
7,Bay Ridges,Pickering,124,,0,,Inactive
8,Belmont House,Toronto,140,,0,,Inactive
9,Belmont Long Term Care Facility,Belleville,128,,0,,Inactive
10,Bendale Acres,Scarborough,302,,0,,Inactive
11,Bennett Health Care Centre,Georgetown,66,,0,,Inactive
12,Berkshire Care Centre,Windsor,231,,0,,Inactive
13,Bethany Lodge,Markham,128,,<5,,Inactive
14,Blackadar Continuing Care Centre,Dundas,80,,0,,Inactive
15,Blue Water Rest Home,Zurich,65,,0,,Inactive
16,Bonnechere Manor,Renfrew,180,,0,,Inactive
17,Bradford Valley Care Community,Bradford,246,,12,,Inactive
18,Braemar Retirement Centre,Wingham,69,,0,,Inactive
19,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144,,0,,Inactive
20,Carefree Lodge,North York,127,,0,,Inactive
21,Caressant Care Courtland,Courtland,55,,0,,Inactive
22,Caressant Care Fergus Nursing Home,Fergus,87,,0,,Inactive
23,Caressant Care Lindsay Nursing Home,Lindsay,124,,0,,Inactive
24,Caressant Care on Bonnie Place,St Thomas,116,,0,,Inactive
25,Carlingview Manor,Ottawa,303,,61,,Inactive
26,Case Manor Care Community,Bobcaygeon,96,,0,,Inactive
27,Cassellholme,North Bay,240,,0,,Inactive
28,Cawthra Gardens,Mississauga,192,,0,,Inactive
29,Cedarvale Terrace,Toronto,218,,0,,Inactive
30,Cedarwood Village,Simcoe,90,,0,,Inactive
31,Centre d'Accueil Champlain,Vanier,160,,0,,Inactive
32,Centre d'Accueil Roger Seguin,Clarence Creek,113,,0,,Inactive
33,Chartwell Aurora Long Term Care Residence,Aurora,235,,11,,Inactive
34,Chartwell Ballycliffe Long Term Care Residence,Ajax,100,,32,,Inactive
