index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
0,AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,"Sarnia, N7S6L6",Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Sarnia, N7S6L6,128,67.0,34.0,9.0,29.0,15.0,3.0,28.0,13.0,5.0,5.0,2.0,
1,"ALBRIGHT GARDENS HOMES, INCORPORATED",5050 Hillside Drive,"Beamsville, L0R1B2",Hamilton Niagara Haldimand Brant (Hnhb),"Albright Gardens Homes, Incorporated",,Non-Profit,Home with approximately 231 beds,No,Yes,Yes,No,,Beamsville, L0R1B2,231,39.0,25.0,15.0,18.0,10.0,6.0,12.0,7.0,6.0,7.0,7.0,3.0
2,ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,"Waterdown, L0R2H0",Hamilton Niagara Haldimand Brant (Hnhb),Waterdown Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Waterdown, L0R2H0,128,28.0,17.0,8.0,11.0,6.0,3.0,8.0,5.0,2.0,4.0,4.0,2.0
4,ALGOMA MANOR NURSING HOME,145 Dawson Street,"Thessalon, P0R1L0",North East,Algoma Manor Nursing Home,,,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Thessalon, P0R1L0,96,23.0,14.0,7.0,7.0,5.0,2.0,3.0,2.0,1.0,6.0,3.0,1.0
5,ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,"Mattawa, P0H1V0",North East,Algonquin Nursing Home Of Mattawa,Hôpital De Mattawa Hospital,Non-Profit,Home with approximately 73 beds,Yes,Yes,Yes,Yes,,Mattawa, P0H1V0,73,23.0,14.0,5.0,3.0,1.0,,11.0,7.0,4.0,5.0,3.0,
6,ALLENDALE,185 Ontario Street South,"Milton, L9T2M4",Mississauga Halton,The Regional Municipality Of Halton,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Milton, L9T2M4,200,39.0,21.0,16.0,16.0,9.0,6.0,14.0,6.0,6.0,11.0,7.0,6.0
7,ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,"Almonte, K0A1A0",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 82 beds,No,Yes,Yes,Yes,,Almonte, K0A1A0,82,49.0,27.0,10.0,22.0,12.0,4.0,19.0,11.0,5.0,3.0,2.0,1.0
8,ALTAMONT CARE COMMUNITY,92 Island Road,"Scarborough, M1C2P5",Central East,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 159 beds,Yes,Yes,Yes,Yes,,Scarborough, M1C2P5,159,33.0,19.0,12.0,11.0,4.0,4.0,13.0,8.0,4.0,7.0,7.0,3.0
9,ANSON PLACE CARE CENTRE,85 Main Street North,"Hagersville, N0A1H0",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 61 beds,Yes,Yes,No,Yes,,Hagersville, N0A1H0,61,22.0,12.0,6.0,11.0,5.0,3.0,6.0,4.0,3.0,1.0,,
10,ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,"Hamilton, L8G1J3",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Gp Inc.,,For-Profit,Home with approximately 129 beds,No,Yes,No,No,,Hamilton, L8G1J3,129,60.0,20.0,14.0,29.0,8.0,7.0,14.0,3.0,3.0,16.0,6.0,3.0
11,ARBOUR HEIGHTS,564 Tanner Drive,"Kingston, K7M0C3",South East,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,Home with approximately 174 beds,No,Yes,Yes,Yes,,Kingston, K7M0C3,174,70.0,33.0,13.0,29.0,11.0,4.0,23.0,14.0,7.0,13.0,7.0,2.0
12,ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,"Atikokan, P0T1C0",North West,Atikokan General Hospital,,Non-Profit,Home with approximately 26 beds,No,No,Yes,Yes,,Atikokan, P0T1C0,26,11.0,7.0,4.0,1.0,,,2.0,1.0,1.0,3.0,2.0,1.0
