phu_name,HR_UID,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Physical activity, 150 minutes per week, adult (18 years and over)","Physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
Brant County Health Unit,3527,27300.0,13300.0,37900.0,29100.0,1900.0,6400.0,5100.0,24000.0,29000.0,10800.0,3000.0,107900.0,26700.0,21800.0,35700.0,102500.0,12900.0,18200.0,58900.0,20400.0,11300.0,77000.0,57700.0,4400.0,78600.0
Chatham-Kent Health Unit,3540,20900.0,8200.0,27900.0,27600.0,1700.0,2400.0,3100.0,10700.0,13300.0,7900.0,,82900.0,16700.0,23500.0,27700.0,81900.0,9700.0,10700.0,56300.0,13500.0,7200.0,61000.0,44300.0,4300.0,67700.0
City of Hamilton Health Unit,3537,115700.0,36300.0,111700.0,153400.0,7200.0,16400.0,16000.0,61400.0,82300.0,41000.0,7000.0,446700.0,96000.0,87200.0,159800.0,430300.0,56100.0,74000.0,299300.0,118400.0,34700.0,326800.0,225800.0,19800.0,324200.0
City of Ottawa Health Unit,3551,131900.0,86900.0,158500.0,317000.0,12100.0,32700.0,15900.0,71600.0,108300.0,44500.0,10500.0,753200.0,169000.0,115600.0,327200.0,787900.0,83200.0,65800.0,565300.0,190900.0,76500.0,559400.0,519500.0,34900.0,565800.0
City of Toronto Health Unit,3595,377700.0,200400.0,448400.0,776500.0,26800.0,131700.0,35600.0,236300.0,340100.0,185200.0,40800.0,2177500.0,358200.0,404000.0,870700.0,2287000.0,187900.0,258000.0,1530400.0,564200.0,192900.0,1736300.0,1329100.0,76500.0,1638500.0
District of Algoma Health Unit,3526,27400.0,10900.0,32600.0,28000.0,1400.0,3700.0,5600.0,15200.0,20400.0,10800.0,,86400.0,22700.0,23900.0,29100.0,86200.0,11600.0,15100.0,53900.0,19400.0,7500.0,62700.0,50000.0,3200.0,73100.0
Durham Regional Health Unit,3530,105600.0,55000.0,153700.0,174100.0,6500.0,32900.0,15600.0,63700.0,89000.0,51000.0,,540200.0,106900.0,96900.0,174400.0,537700.0,55400.0,48200.0,398700.0,125600.0,44800.0,412400.0,292600.0,21500.0,396700.0
Eastern Ontario Health Unit,3558,44300.0,20700.0,55400.0,56700.0,3900.0,7800.0,10300.0,27900.0,32700.0,18700.0,,161600.0,35800.0,33900.0,53300.0,157200.0,14800.0,23200.0,102800.0,31800.0,12600.0,118900.0,87200.0,5600.0,114600.0
Elgin-St. Thomas Health Unit,3531,17200.0,5000.0,23300.0,21500.0,1800.0,3600.0,2800.0,12000.0,15200.0,8100.0,1500.0,73400.0,14400.0,18000.0,25300.0,67700.0,10200.0,11200.0,46500.0,14000.0,7900.0,49700.0,40300.0,3600.0,53300.0
Grey Bruce Health Unit,3533,37700.0,9000.0,43800.0,44500.0,1700.0,6800.0,7800.0,25300.0,29900.0,8800.0,,130400.0,30200.0,30400.0,47000.0,126600.0,13100.0,22400.0,86800.0,30900.0,9000.0,95000.0,74000.0,4000.0,102400.0
Haldimand-Norfolk Health Unit,3534,22000.0,5300.0,24100.0,30000.0,2100.0,3800.0,5200.0,15500.0,21100.0,10100.0,,93700.0,18200.0,17200.0,31200.0,88200.0,10400.0,13300.0,61200.0,21200.0,5900.0,63400.0,44000.0,3700.0,71400.0
Haliburton,3535,44200.0,17100.0,46100.0,55800.0,1700.0,7200.0,9600.0,22700.0,31000.0,16600.0,,151800.0,36200.0,38900.0,59500.0,149900.0,21300.0,20900.0,93800.0,28200.0,14900.0,110900.0,88700.0,6500.0,115700.0
Halton Regional Health Unit,3536,72400.0,34100.0,100600.0,162900.0,14000.0,20900.0,8700.0,32000.0,57300.0,22300.0,9800.0,459200.0,94700.0,87400.0,158400.0,449300.0,35300.0,44900.0,344100.0,114700.0,33600.0,363900.0,267100.0,22200.0,359300.0
Hastings and Prince Edward Counties Health Unit,3538,35200.0,12700.0,43000.0,39800.0,3600.0,7000.0,8000.0,30400.0,35700.0,13600.0,,124200.0,39000.0,29800.0,49600.0,126000.0,16000.0,20800.0,83300.0,30600.0,8300.0,92600.0,67000.0,3600.0,98100.0
Huron County Health Unit,3539,11900.0,5300.0,15200.0,14700.0,,1700.0,1200.0,8300.0,9700.0,5300.0,,48200.0,11800.0,11200.0,18600.0,47500.0,4800.0,5900.0,33300.0,9500.0,2800.0,35000.0,27200.0,1100.0,39200.0
Kingston,3541,44400.0,19500.0,46200.0,58400.0,2400.0,6400.0,9300.0,21000.0,31400.0,13600.0,,159000.0,43900.0,32000.0,74500.0,155600.0,21100.0,24600.0,106000.0,34300.0,14000.0,118600.0,92100.0,5800.0,123600.0
Lambton Health Unit,3542,29000.0,11300.0,27800.0,36300.0,,2500.0,4600.0,17700.0,22400.0,10200.0,,102900.0,25100.0,22100.0,34900.0,92900.0,13300.0,15500.0,64100.0,22100.0,8100.0,63700.0,50200.0,4000.0,74500.0
Leeds,3543,41100.0,17600.0,44000.0,51200.0,2400.0,7700.0,7500.0,25200.0,31900.0,11700.0,4600.0,143400.0,30000.0,32300.0,57500.0,133100.0,23500.0,21900.0,86600.0,30000.0,12800.0,97500.0,76100.0,6500.0,97700.0
Middlesex-London Health Unit,3544,80700.0,28100.0,99400.0,118700.0,7800.0,12900.0,12100.0,47800.0,61300.0,22600.0,,368300.0,79900.0,70400.0,153300.0,358500.0,51900.0,53600.0,249000.0,97600.0,43600.0,234100.0,199400.0,15300.0,255900.0
Niagara Regional Area Health Unit,3546,92200.0,27800.0,101700.0,137100.0,5400.0,16600.0,15400.0,49100.0,73100.0,30100.0,,365600.0,90700.0,87200.0,124100.0,352200.0,49700.0,52400.0,231500.0,86000.0,36300.0,256200.0,196200.0,17800.0,263000.0
North Bay Parry Sound District Health Unit,3547,29000.0,8500.0,29100.0,38000.0,,4900.0,7200.0,17100.0,22700.0,8300.0,,100800.0,23900.0,24000.0,35600.0,96700.0,12600.0,13800.0,63900.0,24700.0,8500.0,75400.0,56800.0,2800.0,71300.0
Northwestern Health Unit,3549,15600.0,5400.0,15900.0,18000.0,,2300.0,1800.0,8600.0,10500.0,5300.0,,46200.0,13600.0,12000.0,18500.0,50900.0,5900.0,6800.0,30600.0,11200.0,3900.0,36300.0,26600.0,2800.0,42500.0
Oxford County Health Unit,3552,20400.0,9300.0,29900.0,30300.0,2200.0,4600.0,3700.0,13000.0,15900.0,6800.0,,92600.0,20600.0,17100.0,27100.0,86100.0,9700.0,12600.0,60200.0,27600.0,6000.0,62500.0,46200.0,4200.0,65800.0
Peel Regional Health Unit,3553,199000.0,76400.0,226700.0,435100.0,21700.0,67600.0,25500.0,102300.0,159100.0,122600.0,25500.0,1145400.0,136100.0,235700.0,361300.0,1126800.0,95900.0,134300.0,733600.0,277200.0,72600.0,849500.0,529200.0,43500.0,870100.0
Perth District Health Unit,3554,15700.0,7600.0,22500.0,18200.0,,2900.0,2500.0,9600.0,12500.0,6200.0,,63600.0,14300.0,12800.0,23200.0,61600.0,6700.0,7300.0,39900.0,14000.0,4500.0,46900.0,35200.0,2600.0,52000.0
Peterborough County-City Health Unit,3555,28300.0,12400.0,35300.0,38100.0,,3400.0,3900.0,17200.0,24600.0,8300.0,,112600.0,28900.0,26500.0,46000.0,112500.0,17900.0,15500.0,80000.0,22800.0,9500.0,83100.0,72100.0,4900.0,92400.0
Porcupine Health Unit,3556,16900.0,9400.0,23700.0,19000.0,1400.0,1700.0,3200.0,12100.0,15800.0,9600.0,,57700.0,16900.0,16100.0,20700.0,57900.0,9000.0,13700.0,36500.0,13400.0,7000.0,42700.0,29100.0,2800.0,46100.0
Renfrew County and District Health Unit,3557,23100.0,6900.0,25000.0,28100.0,1100.0,3900.0,4400.0,13000.0,16700.0,4900.0,,74300.0,18400.0,16600.0,30300.0,76800.0,8300.0,10200.0,51800.0,14600.0,7100.0,60200.0,43900.0,3500.0,66000.0
Simcoe Muskoka District Health Unit,3560,95900.0,43100.0,140900.0,140300.0,8500.0,30300.0,18700.0,70800.0,96700.0,30100.0,14200.0,458900.0,115800.0,85200.0,171000.0,447400.0,52000.0,59600.0,319000.0,108900.0,42300.0,319500.0,270900.0,17000.0,356900.0
Sudbury and District Health Unit,3561,39600.0,14400.0,46100.0,55000.0,2400.0,5200.0,8600.0,31500.0,39700.0,16000.0,,146800.0,40100.0,38800.0,50700.0,149400.0,21400.0,26500.0,95500.0,39000.0,13700.0,104400.0,75900.0,5500.0,116100.0
Thunder Bay District Health Unit,3562,30400.0,10400.0,41800.0,37200.0,2200.0,4900.0,3700.0,18600.0,23000.0,9800.0,,108500.0,29500.0,29200.0,42800.0,110400.0,14200.0,16400.0,73800.0,25500.0,8000.0,79800.0,65700.0,4000.0,89700.0
Timiskaming Health Unit,3563,7600.0,3200.0,9200.0,9300.0,,,1700.0,4000.0,5700.0,2900.0,,24300.0,6500.0,7300.0,9500.0,24400.0,4300.0,5500.0,15900.0,6800.0,3200.0,16400.0,11300.0,1100.0,20300.0
Waterloo Health Unit,3565,78700.0,33200.0,113600.0,141200.0,10900.0,23900.0,10000.0,60400.0,79900.0,41500.0,10400.0,432300.0,91600.0,87000.0,139500.0,440800.0,47500.0,58200.0,286100.0,96300.0,36400.0,306100.0,254500.0,18500.0,323800.0
Wellington-Dufferin-Guelph Health Unit,3566,43900.0,20900.0,62000.0,82200.0,3900.0,9800.0,7800.0,24700.0,38400.0,14300.0,5200.0,234800.0,52200.0,41100.0,75900.0,229200.0,31800.0,27600.0,171400.0,63200.0,26400.0,165400.0,130600.0,8500.0,181800.0
Windsor-Essex County Health Unit,3568,75400.0,25500.0,98000.0,107000.0,5700.0,15700.0,11200.0,50200.0,61300.0,29200.0,5300.0,312000.0,67100.0,75100.0,113800.0,315700.0,33500.0,51900.0,209200.0,72100.0,25700.0,250700.0,162600.0,13400.0,244000.0
York Regional Health Unit,3570,163700.0,50800.0,139900.0,322800.0,17300.0,36600.0,13200.0,61700.0,104400.0,76900.0,15000.0,911000.0,120500.0,176000.0,296200.0,900500.0,49800.0,80000.0,592700.0,206400.0,63900.0,681500.0,442200.0,39800.0,664000.0
