Reporting_PHU,FEMALE,MALE,TRANSGENDER,UNKNOWN,OTHER,CONTACT,NEITHER,TRAVEL-RELATED,NOT-RESOLVED,RESOLVED,FATAL,youth,20s,30s,40s,50s,60s,70s,80s,90s,TOTAL
Algoma Public Health Unit,13,11,0,0,0,0,0,0,2,22,0,1,3,1,4,5,6,3,0,1,24
Brant County Health Unit,71,59,0,0,0,0,0,0,3,122,5,9,24,15,25,25,13,10,6,3,130
Chatham-Kent Health Unit,35,122,0,0,0,0,0,0,6,150,1,4,35,49,38,14,13,2,2,0,157
Durham Region Health Department,1018,655,0,0,0,0,0,0,46,1447,180,70,171,186,206,309,194,140,219,178,1673
Eastern Ontario Health Unit,86,78,0,0,0,0,0,0,11,141,12,7,14,19,19,34,34,15,13,9,164
Grey Bruce Health Unit,63,39,0,0,0,0,0,0,8,94,0,7,11,12,9,20,22,6,10,5,102
Haldimand-Norfolk Health Unit,148,276,0,1,0,0,0,0,16,372,37,11,56,87,91,58,35,16,41,30,425
"Haliburton, Kawartha, Pine Ridge District Health Unit",120,73,0,0,0,0,0,0,7,166,20,7,13,19,19,30,34,25,29,17,193
Halton Region Health Department,403,326,0,1,0,0,0,0,44,661,25,42,84,105,118,146,96,43,58,38,730
Hamilton Public Health Services,449,353,0,0,0,0,0,0,50,707,45,58,158,95,99,117,93,69,74,39,802
Hastings and Prince Edward Counties Health Unit,29,15,0,0,0,0,0,0,0,39,5,1,6,3,6,8,4,7,4,5,44
Huron Perth District Health Unit,36,22,0,0,0,0,0,0,1,52,5,1,6,9,4,10,16,4,5,3,58
"Kingston, Frontenac and Lennox & Addington Public Health",37,27,0,0,0,0,0,0,2,62,0,5,10,8,8,16,9,8,0,0,64
Lambton Public Health,159,126,0,0,0,0,0,0,11,249,25,14,40,27,25,46,30,32,45,26,285
"Leeds, Grenville and Lanark District Health Unit",243,110,0,0,0,0,0,0,2,299,52,12,22,25,28,29,40,54,86,57,353
Middlesex-London Health Unit,358,252,0,0,0,0,0,0,26,527,57,27,122,69,66,102,70,52,62,40,610
Niagara Region Public Health Department,405,335,0,0,0,0,0,0,16,663,61,33,111,94,100,89,79,60,98,76,740
North Bay Parry Sound District Health Unit,13,15,0,0,0,0,0,0,1,26,1,2,3,2,3,6,9,1,2,0,28
Northwestern Health Unit,13,23,0,0,0,0,0,0,9,27,0,3,7,9,5,7,4,0,0,1,36
Ottawa Public Health,1228,837,0,0,0,0,0,0,52,1751,262,94,257,263,274,293,237,181,270,196,2065
Peel Public Health,2862,2689,1,22,1,0,0,0,464,4808,303,363,1064,785,842,945,640,356,365,213,5575
Peterborough Public Health,51,44,0,0,0,0,0,0,4,89,2,5,18,11,13,15,14,8,7,4,95
Porcupine Health Unit,36,31,0,0,0,0,0,0,2,57,8,4,2,11,7,10,17,9,4,3,67
"Region of Waterloo, Public Health",715,523,1,4,1,0,0,0,57,1071,116,43,188,182,183,201,131,98,133,85,1244
Renfrew County and District Health Unit,20,7,0,0,0,0,0,0,1,25,1,0,3,6,3,5,2,4,3,1,27
Simcoe Muskoka District Health Unit,311,266,0,0,0,0,0,0,67,476,34,40,93,88,78,88,74,58,30,28,577
Southwestern Public Health,49,32,0,0,0,0,0,0,0,77,4,3,8,12,10,23,12,10,2,1,81
Sudbury & District Health Unit,41,26,0,0,0,0,0,0,3,62,2,4,14,5,6,18,7,11,2,0,67
Thunder Bay District Health Unit,40,49,0,1,0,0,0,0,6,83,1,9,16,12,21,16,9,5,2,0,90
Timiskaming Health Unit,12,6,0,0,0,0,0,0,0,18,0,2,6,2,0,3,2,2,0,1,18
Toronto Public Health,6805,5774,5,219,6,0,0,0,697,11087,1025,522,1699,1781,1838,2081,1436,974,1432,1041,12809
Wellington-Dufferin-Guelph Public Health,279,187,0,0,0,0,0,0,55,375,36,24,58,60,81,68,65,50,37,23,466
Windsor-Essex County Health Unit,562,791,0,4,0,0,0,0,244,1044,69,38,297,294,226,178,103,67,78,76,1357
York Region Public Health Services,1562,1291,0,7,0,0,0,0,136,2487,237,117,381,342,390,526,371,241,299,193,2860
