,Location_x,% of owner households spending 30% or more of its income on shelter costs,% of tenant households spending 30% or more of its income on shelter costs,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Average household size,Bachelor's degree,Bicycle,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Earned doctorate,Employment rate,External migrants,Interprovincial migrants,Intraprovincial migrants,Master's degree,Median after-tax income of households in 2015 ($),Median age of the population,Movable dwelling,"No certificate, diploma or degree",Not in the labour force,Other attached dwelling,Other method,"Population, 2016",Public transit,Single-detached house,Unemployment rate,Walked,FEMALE,MALE,TRANSGENDER,UNKNOWN,OTHER,CONTACT,NEITHER,TRAVEL-RELATED,NOT-RESOLVED,RESOLVED,FATAL,youth,20s,30s,40s,50s,60s,70s,80s,90s,TOTAL,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight",Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Physical activity, 150 minutes per week, adult (18 years and over)","Physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong",HRPOP,amenity_dense
0,Algoma Public Health Unit,11.2,44.6,5.628559301050546,2.2947543419051324,2.2,9442.5,0.27855399526016056,32.50238760567366,2.5865728131300627,297.5,49.0,520.0,0.6764882742032472,5.949117470199144,1635.0,52908.0,49.1,0.3448763750840083,11.944660606274981,43175.0,11.473771709525662,0.47309964274344735,113084.0,1.162852392911464,30.676311414523717,10.4,2.153266598280924,13,10,0,0,0,3,9,8,2,21,0,1,3,1,4,4,6,3,0,1,23,29.0,11.2,38.7,33.2,7.9,15.6,20.9,11.0,88.7,23.5,24.6,31.2,92.3,11.9,15.4,55.2,19.9,8.0,66.6,55.7,59.9,79.0,112847.0,0.01276595744680851
1,Brant County Health Unit,14.8,45.4,3.4236677708365755,2.8864038890494506,2.5,9602.5,0.3779373513261155,38.57554671231557,3.3199202626294064,302.5,60.8,842.5,0.5280007114114849,8.722201225702705,2195.0,61093.0,41.7,0.014821072601024136,11.760521108912652,38230.0,9.985697664940012,0.3779373513261155,134943.0,1.422822969698317,26.22218269936195,6.2,1.734065494319824,68,59,0,0,0,61,44,18,7,115,5,8,24,15,25,24,12,10,6,3,127,23.8,11.1,38.1,29.3,6.4,20.1,24.2,9.0,90.3,22.3,18.1,31.7,90.9,10.7,15.2,49.0,17.1,9.9,67.5,52.9,55.2,69.4,139668.0,0.08439051296194153
2,Chatham-Kent Health Unit,12.8,41.7,4.79704435428549,1.357284255502636,2.3,6015.0,0.3625957938887909,35.88228376550832,2.626369534113404,97.5,55.6,612.5,0.5193939750298897,4.821544070088787,1170.0,52667.0,45.8,0.20089766958703278,13.859489229924932,33100.0,8.325003429960212,0.37239568021010955,102042.0,0.4360949412986809,32.42782383724349,7.5,2.0579761274769215,29,120,0,0,0,130,8,11,2,146,1,1,34,49,36,14,12,2,1,0,149,23.9,9.0,35.8,35.4,4.9,11.7,14.7,8.6,92.9,18.4,25.8,32.2,93.1,10.6,11.8,61.9,14.9,8.2,69.2,53.9,62.9,76.8,103551.0,0.0
3,Durham Region Health Department,19.9,47.7,2.203257042526112,2.401441794067463,2.8,70320.0,0.15018688202743,36.563538341007835,2.870582260606755,1485.0,62.0,6480.0,0.44127073585378923,10.690364195447325,15700.0,77398.0,40.2,0.019353979642710052,8.962440892946171,170735.0,9.29765182035791,0.4513348052679984,645862.0,5.266604940374259,23.5692764088923,8.0,1.3973573302036657,997,641,0,0,0,496,1046,56,106,1353,179,61,164,181,205,304,188,139,219,177,1638,19.0,9.4,30.7,34.8,4.1,10.9,15.2,8.7,92.6,18.3,16.6,31.2,94.8,9.4,8.2,68.0,21.5,7.9,72.6,55.0,56.4,70.9,655838.0,0.12528430629264595
4,Eastern Ontario Health Unit,14.1,47.0,4.820923052643,0.6238841597538001,2.4,13295.0,0.1972756236375652,37.077953462680384,2.865428433335635,325.0,58.4,715.0,2.1145480908651524,7.68758445862637,2795.0,59350.0,45.8,0.35263017725214785,12.162042197255897,61995.0,10.697270691746974,0.40934691904794784,202762.0,1.3242126236671565,29.371874414337995,6.6,1.8420611357157655,82,77,0,0,0,86,39,33,11,136,12,6,14,19,18,33,33,15,12,9,159,26.1,11.7,35.7,36.6,8.2,15.8,18.5,10.5,91.7,20.4,19.1,31.7,92.8,8.3,13.1,57.9,18.0,7.4,69.9,53.6,61.2,68.1,196707.0,0.012136697540721816
5,Grey Bruce Health Unit,16.3,46.1,4.009828555906085,0.5741555899911716,2.3,11655.0,0.2994252270384067,34.711718330380236,2.580613296949567,292.5,57.0,640.0,0.5602647289429981,10.462905227285356,2787.5,58917.0,49.0,0.4383338375201417,12.30884631768708,52725.0,7.368330071553368,0.3951178253702686,161977.0,0.30559894305981716,33.862832377436305,6.0,2.639263599152966,57,37,0,1,0,28,55,10,4,91,0,7,10,12,10,17,19,6,9,5,95,26.9,6.2,35.7,36.2,7.5,17.4,20.6,6.1,90.6,21.0,21.0,34.4,92.9,9.0,15.4,59.8,21.5,6.6,69.1,55.6,46.6,75.2,165266.0,0.0
6,Haldimand-Norfolk Health Unit,14.5,43.5,2.5033743114580673,0.3739101885966512,2.5,6027.5,0.1276766497647102,37.29982125269033,2.72680844854631,127.5,57.7,455.0,0.4263488126071572,8.618173859117936,1127.5,62716.0,46.5,0.1960748549958049,13.086856600882793,34320.0,5.8503264874329695,0.36023054755043227,109652.0,0.26447306022689965,33.259767263707005,6.9,2.1933024477437715,146,250,0,1,0,110,150,11,35,331,31,10,52,83,80,52,33,16,41,30,397,23.3,5.4,28.6,35.5,7.5,15.7,21.4,10.2,95.3,18.4,17.4,33.5,93.3,10.5,13.4,61.7,21.4,6.2,66.7,49.4,61.4,75.7,109378.0,0.0
7,"Haliburton, Kawartha, Pine Ridge District Health Unit",17.6,50.0,3.1633376702422904,0.7901364171920283,2.3,11582.5,0.1954401031923745,34.095922002646816,2.3229452265150794,372.5,51.7,667.5,0.6826443604362223,11.719426187857026,2597.5,59980.0,52.0,0.2875761518402082,11.360653998425311,66695.0,6.217787282991686,0.37971220048804183,179083.0,0.5528162918870021,34.71574632991406,7.7,1.8762249906467952,114,71,0,0,0,44,107,28,6,160,19,6,10,18,17,29,34,25,29,17,185,27.6,10.4,32.0,38.8,7.8,13.9,19.0,10.1,92.5,21.9,23.6,37.8,94.3,12.9,12.7,56.9,17.1,9.4,69.7,58.9,66.6,73.2,186198.0,0.004165581879718825
8,Halton Region Health Department,18.7,45.1,2.077749211385227,3.9923053078788544,2.8,92155.0,0.2899184946118921,36.991047171015445,2.6539394270918804,3362.5,65.6,14620.0,0.7831446128038217,10.062359827142936,29082.5,87184.0,40.5,0.013675400689240195,6.267891982568423,130895.0,10.599347227540433,0.4567583830206225,548430.0,5.093630910052331,20.581478037306493,6.0,1.4641795671279834,394,314,0,0,0,257,333,83,54,630,24,37,83,100,115,148,90,42,55,38,708,15.4,6.9,24.2,39.2,2.7,6.5,11.7,4.5,93.7,19.3,17.8,33.7,94.2,7.2,9.1,69.8,23.4,7.0,76.1,60.9,57.6,75.9,561949.0,0.10638814670876852
9,Hamilton Public Health Services,16.8,45.4,3.3729608114475793,6.251431785545996,2.5,53575.0,0.41812794156266236,34.23806659129809,3.2314119314530925,3450.0,58.7,9915.0,0.5750423249776035,5.730401533197869,15552.5,61168.0,41.5,0.06798071210261548,11.437987621922941,162415.0,10.513729310116833,0.39484687577409544,536917.0,4.756787361919999,22.5751838738576,7.0,2.087845979918684,424,335,0,0,0,439,236,61,57,659,43,40,148,91,96,116,88,69,73,38,759,24.5,7.4,26.8,36.8,5.0,12.6,16.9,8.4,91.4,19.8,17.9,34.5,92.6,11.5,15.1,61.0,24.4,7.4,69.9,50.8,60.8,70.7,534386.0,0.2733812949640288
10,Hastings and Prince Edward Counties Health Unit,16.5,47.9,4.709020970343715,1.5882863878893163,2.3,10145.0,0.3350291599454026,34.61657773917359,2.6150887206849487,187.5,53.3,827.5,1.2889316292343962,9.66776274972081,2222.5,55535.0,47.8,0.35053976920213425,12.25493237374364,57240.0,8.409852338999876,0.41568432808040695,161180.0,0.7693262191338875,31.67886834594863,6.9,2.0629110311453034,29,15,0,0,0,18,9,14,0,39,5,1,6,3,6,7,4,8,4,5,44,25.7,9.0,35.1,32.5,7.9,21.5,25.2,9.6,88.4,27.6,21.1,36.7,92.3,11.3,14.7,58.9,21.7,6.1,67.7,52.0,44.9,72.3,161160.0,0.0
11,Huron Perth District Health Unit,14.4,37.55,4.695318642398948,0.466592697640584,2.4,4152.5,0.6576385265957838,36.87184498835355,2.920796808065073,105.0,64.0,388.75,0.5161911340039532,9.271233641700896,935.0,60507.0,44.349999999999994,0.5033322801319686,13.674472603293337,17797.5,9.19224353934442,0.49965832188283016,68046.5,0.4041354074052302,30.192588891419835,4.65,3.144908261262519,36,21,0,0,0,24,22,8,3,49,5,1,6,8,4,10,16,4,5,3,57,24.1,10.3,35.1,34.0,3.4,16.0,18.7,10.2,94.0,22.8,21.7,37.6,95.0,9.3,11.5,64.4,18.6,5.6,69.9,58.5,33.4,78.9,61222.0,0.0
12,Huron Perth District Health Unit,14.4,37.55,4.695318642398948,0.466592697640584,2.4,4152.5,0.6576385265957838,36.87184498835355,2.920796808065073,105.0,64.0,388.75,0.5161911340039532,9.271233641700896,935.0,60507.0,44.349999999999994,0.5033322801319686,13.674472603293337,17797.5,9.19224353934442,0.49965832188283016,68046.5,0.4041354074052302,30.192588891419835,4.65,3.144908261262519,36,21,0,0,0,24,22,8,3,49,5,1,6,8,4,10,16,4,5,3,57,23.9,11.0,38.7,31.3,5.5,14.1,18.5,9.0,94.8,21.0,18.9,35.9,93.8,9.9,10.7,58.2,20.4,6.9,71.1,57.4,58.2,79.5,77366.0,0.0
