,Location_x,% of owner households spending 30% or more of its income on shelter costs,% of tenant households spending 30% or more of its income on shelter costs,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Average household size,Bachelor's degree,Bicycle,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Earned doctorate,Employment rate,External migrants,Interprovincial migrants,Intraprovincial migrants,Master's degree,Median after-tax income of households in 2015 ($),Median age of the population,Movable dwelling,"No certificate, diploma or degree",Not in the labour force,Other attached dwelling,Other method,"Population, 2016",Public transit,Single-detached house,Unemployment rate,Walked,FEMALE,MALE,TRANSGENDER,UNKNOWN,OTHER,CONTACT,NEITHER,TRAVEL-RELATED,NOT-RESOLVED,RESOLVED,FATAL,youth,20s,30s,40s,50s,60s,70s,80s,90s,TOTAL,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight",Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Physical activity, 150 minutes per week, adult (18 years and over)","Physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong",HRPOP,amenity_dense
0,Algoma Public Health Unit,11.2,44.6,6365.0,2595.0,2.2,9442.5,315.0,36755.0,2925.0,297.5,49.0,520.0,765.0,6727.5,1635.0,52908.0,49.1,390.0,13507.5,43175.0,12975.0,535.0,113084.0,1315.0,34690.0,10.4,2435.0,13,10,0,0,0,3,9,8,2,21,0,1,3,1,4,4,6,3,0,1,23,29.0,11.2,38.7,33.2,7.9,15.6,20.9,11.0,88.7,23.5,24.6,31.2,92.3,11.9,15.4,55.2,19.9,8.0,66.6,55.7,59.9,79.0,112847.0,0.01276595744680851
1,Brant County Health Unit,14.8,45.4,4620.0,3895.0,2.5,9602.5,510.0,52055.0,4480.0,302.5,60.8,842.5,712.5,11770.0,2195.0,61093.0,41.7,20.0,15870.0,38230.0,13475.0,510.0,134943.0,1920.0,35385.0,6.2,2340.0,68,59,0,0,0,61,44,18,7,115,5,8,24,15,25,24,12,10,6,3,127,23.8,11.1,38.1,29.3,6.4,20.1,24.2,9.0,90.3,22.3,18.1,31.7,90.9,10.7,15.2,49.0,17.1,9.9,67.5,52.9,55.2,69.4,139668.0,0.08439051296194153
2,Chatham-Kent Health Unit,12.8,41.7,4895.0,1385.0,2.3,6015.0,370.0,36615.0,2680.0,97.5,55.6,612.5,530.0,4920.0,1170.0,52667.0,45.8,205.0,14142.5,33100.0,8495.0,380.0,102042.0,445.0,33090.0,7.5,2100.0,29,120,0,0,0,130,8,11,2,146,1,1,34,49,36,14,12,2,1,0,149,23.9,9.0,35.8,35.4,4.9,11.7,14.7,8.6,92.9,18.4,25.8,32.2,93.1,10.6,11.8,61.9,14.9,8.2,69.2,53.9,62.9,76.8,103551.0,0.0
3,Durham Region Health Department,19.9,47.7,14230.0,15510.0,2.8,70320.0,970.0,236150.0,18540.0,1485.0,62.0,6480.0,2850.0,69045.0,15700.0,77398.0,40.2,125.0,57885.0,170735.0,60050.0,2915.0,645862.0,34015.0,152225.0,8.0,9025.0,997,641,0,0,0,496,1046,56,106,1353,179,61,164,181,205,304,188,139,219,177,1638,19.0,9.4,30.7,34.8,4.1,10.9,15.2,8.7,92.6,18.3,16.6,31.2,94.8,9.4,8.2,68.0,21.5,7.9,72.6,55.0,56.4,70.9,655838.0,0.12528430629264595
4,Eastern Ontario Health Unit,14.1,47.0,9775.0,1265.0,2.4,13295.0,400.0,75180.0,5810.0,325.0,58.4,715.0,4287.5,15587.5,2795.0,59350.0,45.8,715.0,24660.0,61995.0,21690.0,830.0,202762.0,2685.0,59555.0,6.6,3735.0,82,77,0,0,0,86,39,33,11,136,12,6,14,19,18,33,33,15,12,9,159,26.1,11.7,35.7,36.6,8.2,15.8,18.5,10.5,91.7,20.4,19.1,31.7,92.8,8.3,13.1,57.9,18.0,7.4,69.9,53.6,61.2,68.1,196707.0,0.012136697540721816
5,Grey Bruce Health Unit,16.3,46.1,6495.0,930.0,2.3,11655.0,485.0,56225.0,4180.0,292.5,57.0,640.0,907.5,16947.5,2787.5,58917.0,49.0,710.0,19937.5,52725.0,11935.0,640.0,161977.0,495.0,54850.0,6.0,4275.0,57,37,0,1,0,28,55,10,4,91,0,7,10,12,10,17,19,6,9,5,95,26.9,6.2,35.7,36.2,7.5,17.4,20.6,6.1,90.6,21.0,21.0,34.4,92.9,9.0,15.4,59.8,21.5,6.6,69.1,55.6,46.6,75.2,165266.0,0.0
6,Haldimand-Norfolk Health Unit,14.5,43.5,2745.0,410.0,2.5,6027.5,140.0,40900.0,2990.0,127.5,57.7,455.0,467.5,9450.0,1127.5,62716.0,46.5,215.0,14350.0,34320.0,6415.0,395.0,109652.0,290.0,36470.0,6.9,2405.0,146,250,0,1,0,110,150,11,35,331,31,10,52,83,80,52,33,16,41,30,397,23.3,5.4,28.6,35.5,7.5,15.7,21.4,10.2,95.3,18.4,17.4,33.5,93.3,10.5,13.4,61.7,21.4,6.2,66.7,49.4,61.4,75.7,109378.0,0.0
7,"Haliburton, Kawartha, Pine Ridge District Health Unit",17.6,50.0,5665.0,1415.0,2.3,11582.5,350.0,61060.0,4160.0,372.5,51.7,667.5,1222.5,20987.5,2597.5,59980.0,52.0,515.0,20345.0,66695.0,11135.0,680.0,179083.0,990.0,62170.0,7.7,3360.0,114,71,0,0,0,44,107,28,6,160,19,6,10,18,17,29,34,25,29,17,185,27.6,10.4,32.0,38.8,7.8,13.9,19.0,10.1,92.5,21.9,23.6,37.8,94.3,12.9,12.7,56.9,17.1,9.4,69.7,58.9,66.6,73.2,186198.0,0.004165581879718825
8,Halton Region Health Department,18.7,45.1,11395.0,21895.0,2.8,92155.0,1590.0,202870.0,14555.0,3362.5,65.6,14620.0,4295.0,55185.0,29082.5,87184.0,40.5,75.0,34375.0,130895.0,58130.0,2505.0,548430.0,27935.0,112875.0,6.0,8030.0,394,314,0,0,0,257,333,83,54,630,24,37,83,100,115,148,90,42,55,38,708,15.4,6.9,24.2,39.2,2.7,6.5,11.7,4.5,93.7,19.3,17.8,33.7,94.2,7.2,9.1,69.8,23.4,7.0,76.1,60.9,57.6,75.9,561949.0,0.10638814670876852
9,Hamilton Public Health Services,16.8,45.4,18110.0,33565.0,2.5,53575.0,2245.0,183830.0,17350.0,3450.0,58.7,9915.0,3087.5,30767.5,15552.5,61168.0,41.5,365.0,61412.5,162415.0,56450.0,2120.0,536917.0,25540.0,121210.0,7.0,11210.0,424,335,0,0,0,439,236,61,57,659,43,40,148,91,96,116,88,69,73,38,759,24.5,7.4,26.8,36.8,5.0,12.6,16.9,8.4,91.4,19.8,17.9,34.5,92.6,11.5,15.1,61.0,24.4,7.4,69.9,50.8,60.8,70.7,534386.0,0.2733812949640288
