,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases
0,Almonte Country Haven,Almonte,82,<5,28,13
1,Altamont Care Community,Scarborough,159,72,46,60
2,Anson Place Care Centre,Hagersville,61,28,23,29
3,Arbour Creek Long-Term Care Centre,Hamilton,129,0,0,<5
4,Avalon Retirement Centre,Orangeville,137,0,0,<5
5,Bendale Acres,Scarborough,302,0,0,0
6,Berkshire Care Centre,Windsor,231,0,0,<5
7,Bethany Lodge,Markham,128,<5,<5,<5
8,Blackadar Continuing Care Centre,Dundas,80,<5,0,0
9,Blue Water Rest Home,Zurich,65,<5,0,0
10,Bonnechere Manor,Renfrew,180,0,0,<5
11,Bradford Valley Care Community,Bradford,246,<5,11,0
12,Braemar Retirement Centre,Wingham,69,0,0,0
13,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144,0,0,<5
14,Burton Manor,Brampton,128,11,8,14
15,Camilla Care Community,Mississauga,236,152,48,44
16,Carefree Lodge,North York,127,<5,0,0
17,Caressant Care Courtland,Courtland,55,0,0,<5
18,Caressant Care Lindsay Nursing Home,Lindsay,124,<5,0,<5
19,Carlingview Manor,Ottawa,303,93,39,61
20,Cassellholme,North Bay,240,<5,0,0
21,Castleview Wychwood Towers,Toronto,456,0,0,<5
22,Cedarvale Terrace,Toronto,218,0,0,<5
23,Centre d'Accueil Champlain,Vanier,160,0,0,<5
24,Chartwell Aurora Long Term Care Residence,Aurora,235,31,11,5
25,Chartwell Ballycliffe Long Term Care Residence,Ajax,100,5,30,31
26,Chartwell Gibson Long Term Care Residence,North York,202,31,9,10
27,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96,0,0,<5
28,Chartwell Waterford Long Term Care Residence,Oakville,168,<5,0,<5
29,Chartwell Westbury Long Term Care Residence,Etobicoke,187,61,20,23
30,Chartwell Westmount Long Term Care Residence,Kitchener,160,<5,0,0
31,Chartwell White Eagle Long Term Care Residence,Toronto,56,26,11,9
32,Chartwell Woodhaven Long Term Care Residence,Markham,192,0,0,<5
33,Cooksville Care Centre,Mississauga,192,40,6,17
34,Copernicus Lodge,Toronto,228,0,0,<5
35,Country Village Homes - Woodslee,Woodslee,104,0,18,<5
36,Craiglee Nursing Home,Scarborough,169,<5,<5,7
37,Cummer Lodge,North York,391,<5,<5,0
38,Downsview Long Term Care Centre,North York,252,35,23,71
39,Dufferin Oaks,Shelburne,160,<5,<5,6
40,Dundurn Place Care Centre,Hamilton,201,6,<5,<5
41,Eagle Terrace,Newmarket,70,<5,<5,<5
42,Earls Court Village,London,128,9,<5,8
43,Eatonville Care Centre,Etobicoke,247,142,40,56
44,Élisabeth-Bruyère Residence,Ottawa,71,10,5,<5
45,Elm Grove Living Centre,Toronto,126,44,17,43
46,Elmwood Place,London,90,<5,0,<5
47,Erin Mills Lodge Nursing Home,Mississauga,86,29,16,22
48,Exeter Villa,Exeter,47,0,0,<5
49,Extendicare Bayview,North York,205,60,8,13
50,Extendicare Brampton,Brampton,150,13,<5,<5
51,Extendicare Guildwood,Scarborough,169,36,7,12
52,Extendicare Laurier Manor,Gloucester,242,10,22,33
53,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256,<5,0,0
54,Extendicare Oshawa,Oshawa,175,<5,0,0
55,Extendicare Scarborough,Scarborough,154,11,<5,8
56,Extendicare Southwood Lakes,Windsor,150,0,0,<5
57,Extendicare Timmins,Timmins,180,<5,0,0
58,Extendicare West End Villa,Ottawa,242,0,0,<5
59,Fairview Lodge,Whitby,198,0,0,<5
60,Faith Manor Nursing Home,Brampton,120,<5,0,<5
61,Finlandia Hoivakoti Nursing Home,Sudbury,112,0,0,<5
62,Forest Heights,Kitchener,240,166,46,59
63,Fountain View Care Community,East York,158,0,0,<5
64,Franklin Gardens Long Term Care Home,Leamington,120,<5,0,<5
65,Fudger House,Toronto,250,<5,0,0
66,Garden City Manor,St. Catharines,200,<5,0,0
67,Garden Terrace,Kanata,160,0,<5,<5
