,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases
0,"Albright Gardens Homes, Incorporated",Beamsville,231,<5,0,0
1,Alexander Place,Waterdown,128,<5,0,0
2,Almonte Country Haven,Almonte,82,0,30,0
3,Altamont Care Community,Scarborough,159,<5,52,24
4,Anson Place Care Centre,Hagersville,61,28,23,29
5,Bennett Health Care Centre,Georgetown,66,<5,0,0
6,Burton Manor,Brampton,128,0,11,<5
7,Camilla Care Community,Mississauga,236,51,61,31
8,Carlingview Manor,Ottawa,303,39,54,87
9,Castleview Wychwood Towers,Toronto,456,<5,0,<5
10,Cedarwood Village,Simcoe,90,0,0,<5
11,Chartwell Ballycliffe Long Term Care Residence,Ajax,100,<5,32,0
12,Chartwell Brant Centre Long Term Care Residence,Burlington,175,<5,0,0
13,Chartwell Gibson Long Term Care Residence,North York,202,35,9,10
14,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96,0,0,<5
15,Chartwell Royal Oak Long Term Care Residence,Kingsville,160,<5,0,0
16,Chartwell Wenleigh Long Term Care Residence,Mississauga,161,0,0,<5
17,Chartwell Westbury Long Term Care Residence,Etobicoke,187,<5,22,26
18,Chartwell Westmount Long Term Care Residence,Kitchener,160,<5,0,<5
19,Chartwell White Eagle Long Term Care Residence,Toronto,56,26,11,9
20,Chelsey Park,London,247,0,0,<5
21,Collingwood Nursing Home,Collingwood,64,<5,0,0
22,Columbia Forest,Waterloo,156,<5,0,<5
23,Cooksville Care Centre,Mississauga,192,23,13,22
24,Craiglee Nursing Home,Scarborough,169,<5,<5,5
25,Creek Way Village,Burlington,144,<5,0,<5
26,Crescent Park Lodge,Fort Erie,68,<5,0,0
27,Downsview Long Term Care Centre,North York,252,66,52,70
28,Eastholme Home for the Aged,Powassan,128,0,0,<5
29,Eatonville Care Centre,Etobicoke,247,44,42,24
30,Élisabeth-Bruyère Residence,Ottawa,71,<5,15,8
31,Elizabeth Centre,Val Caron,128,<5,0,<5
32,Erin Mills Lodge Nursing Home,Mississauga,86,29,17,22
33,Extendicare Bayview,North York,205,40,12,<5
34,Extendicare Brampton,Brampton,150,11,<5,6
35,Extendicare Guildwood,Scarborough,169,54,31,17
36,Extendicare Halton Hills,Georgetown,130,0,0,<5
37,Extendicare Laurier Manor,Gloucester,242,<5,25,<5
38,Extendicare Scarborough,Scarborough,154,40,14,22
39,Extendicare Southwood Lakes,Windsor,150,0,0,<5
40,Faith Manor Nursing Home,Brampton,120,<5,<5,<5
41,Fenelon Court,Fenelon Falls,67,0,0,<5
42,Forest Heights,Kitchener,240,171,50,68
43,Fudger House,Toronto,250,<5,0,0
44,Garden Terrace,Kanata,160,0,0,<5
45,Grace Manor,Brampton,120,7,11,<5
46,Hampton Terrace Care Centre,Burlington,101,0,0,0
47,Hawthorne Place Care Centre,North York,269,0,43,33
48,Hellenic Care for Seniors (Toronto),Toronto,81,0,0,<5
49,Hellenic Home - Scarborough,Scarborough,128,42,14,14
50,Henley Place,London,192,<5,0,0
51,Heron Terrace Long Term Care Community,Windsor,140,25,23,0
52,Humber Valley Terrace,Etobicoke (Rexdale),158,59,28,24
53,Ina Grafton Gage Home,Scarborough,128,31,29,15
54,Isabel and Arthur Meighen Manor,Toronto,168,6,47,31
55,Ivan Franko Home (Etobicoke),Toronto,85,0,0,<5
56,Kennedy Lodge,Scarborough,289,<5,0,<5
57,Kensington Village,London,78,<5,6,<5
58,Kilean Lodge,Grimsby,50,0,0,<5
59,Kipling Acres,Etobicoke,337,30,14,11
60,Kristus Darzs Latvian Home,Woodbridge,100,19,11,15
61,Lakeshore Lodge,Etobicoke,150,27,11,21
62,Lambton Meadowview Villa,Petrolia,125,0,0,<5
63,Lanark Lodge,Perth,163,0,0,<5
64,Macassa Lodge,Hamilton,270,0,0,<5
65,Mackenzie Health Long Term Care Facility,Richmond Hill,168,0,0,<5
66,Madonna Care Community,Orleans,160,15,43,27
67,Main Street Terrace,Toronto,150,<5,0,0
68,Maitland Manor,Goderich,91,<5,0,0
69,Malton Village Long Term Care Centre,Mississauga,160,<5,0,<5
70,Manitoulin Lodge,Gore Bay,62,0,0,<5
71,Manoir Marochel,Ottawa,64,28,7,13
72,Maple Grove Care Community,Brampton,160,<5,0,<5
73,Marshall Gowland Manor,Sarnia,126,<5,0,0
74,Maxville Manor,Maxville,122,<5,0,0
75,Maynard Nursing Home,Toronto,77,0,0,0
76,Meadow Park (London),London,126,<5,<5,8
77,Midland Gardens Care Community,Scarborough,299,67,16,22
78,Mon Sheong Home for the Aged,Toronto,105,58,33,16
79,Montfort,Ottawa,128,<5,29,<5
80,Norview Lodge,Simcoe,179,0,0,<5
81,Orchard Villa,Pickering,233,<5,69,7
82,Owen Hill Care Community,Barrie,57,0,12,<5
83,Parkwood Mennonite Home,Waterloo,96,0,0,<5
84,Peel Manor,Brampton,177,<5,<5,6
85,peopleCare A.R. Goudie Kitchener,Kitchener,80,<5,9,18
86,Peter D. Clark Centre,Ottawa,216,18,5,16
87,Pinecrest (Plantagenet),Plantagenet,60,23,11,<5
88,Post Inn Village,Oakville,228,0,0,<5
89,ReachView Village,Uxbridge,100,22,11,10
90,Regency Park Long Term Care Home,Windsor,72,0,0,<5
91,Residence Saint-Louis,Ottawa,198,13,9,8
92,River Glen Haven Nursing Home,Sutton West,119,50,24,30
93,Rockcliffe Care Community,Scarborough,204,0,0,<5
94,Royal Rose Place,Welland,96,<5,18,<5
95,Secord Trails Care Community,Ingersoll,80,0,0,7
96,Seven Oaks,Scarborough,249,18,41,21
97,Sherbourne Place,Toronto,126,19,19,10
98,Sheridan Villa,Mississauga,142,10,<5,7
99,Silverthorn Care Community,Mississauga,160,0,0,<5
100,South Centennial Manor,Iroquois Falls,69,<5,0,0
101,St. George Care Community,Toronto,238,0,0,<5
102,St. Patrick's Home,Ottawa,288,<5,<5,<5
103,Stoneridge Manor,Carleton Place,60,<5,6,0
104,Sun Parlor Home for Senior Citizens,Leamington,206,<5,<5,<5
105,Sunnyside Home,Kitchener,263,0,0,<5
106,The Jewish Home for the Aged,North York,472,<5,<5,8
107,The Norfolk Hospital Nursing Home,Simcoe,80,<5,0,0
108,The Village of Erin Meadows,Mississauga,180,13,19,17
109,The Village of Humber Heights,Etobicoke,192,45,10,17
110,The Village of Taunton Mills,Whitby,120,0,0,<5
111,Thompson House,North York,136,0,0,<5
112,Trinity Village Care Centre,Kitchener,150,<5,18,<5
113,Tufford Nursing Home,St. Catharines,64,0,0,0
114,Ukrainian Canadian Care Centre,Etobicoke,152,20,<5,<5
115,Vermont Square,Toronto,130,<5,0,<5
116,Villa Colombo Homes for the Aged,Toronto,391,9,<5,11
117,Villa Colombo Seniors Centre (Vaughan),Vaughan,160,25,19,15
118,Villa Leonardo Gambin,Woodbridge,168,<5,12,19
119,Vision Nursing Home,Sarnia,146,16,6,20
120,Wellesley Central Place,Toronto,150,28,18,10
121,Wesburn Manor,Etobicoke,192,<5,0,0
122,West Oak Village,Oakville,133,0,0,<5
123,West Park Health Centre,St. Catharines,101,<5,<5,0
124,West Park Long Term Care Centre,Toronto,200,41,25,11
125,Weston Terrace Care Community,Toronto,224,25,24,39
126,Westside,Etobicoke,242,<5,<5,<5
127,Woodbridge Vista Care Community,Woodbridge,224,72,6,20
128,Wyndham Manor Long Term Care Centre,Oakville,128,<5,0,<5
