,index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city_x,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,facility_name_clean,cleaned_name,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city_y,postal code,number of beds,total_inspections,5y_inspections,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
0,2435.0,afton park place long term care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,1200,afton drive,N7S6L6,sarnia,on,,Sarnia,3538030.0,35.0,42.97632532,-82.36144406,afton park place long term care community,afton park place long term care community,AFTON PARK PLACE LONG TERM CARE COMMUNITY,1200 Afton Drive,"Sarnia, N7S6L6",Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Sarnia, N7S6L6,128.0,67.0,34.0,,,,,,,,
1,2439.0,albright gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,,5050,hillside drive,L0R1B2,lincoln,on,,Lincoln,3526057.0,35.0,43.15187669,-79.47659767,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens,albright gardens
2,2442.0,alexander place,long-term care home,Nursing and residential care facilities,Province of Ontario,,329,parkside drive,L0R2H0,hamilton,on,,Hamilton,3525005.0,35.0,43.34234541,-79.90081952,alexander place,alexander place,ALEXANDER PLACE,329 Parkside Drive P. O.  Box 50,"Waterdown, L0R2H0",Hamilton Niagara Haldimand Brant (Hnhb),Waterdown Long Term Care Centre Inc.,,For-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Waterdown, L0R2H0,128.0,28.0,17.0,,,,,,,,
3,2449.0,algoma manor nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,145,dawson street,P0R1L0,thessalon,on,,Thessalon,3557028.0,35.0,46.263461799999995,-83.56324898,algoma manor nursing home,algoma manor nursing home,ALGOMA MANOR NURSING HOME,145 Dawson Street,"Thessalon, P0R1L0",North East,Algoma Manor Nursing Home,,,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Thessalon, P0R1L0,96.0,23.0,14.0,,,,,,,,
4,2456.0,algonquin nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,231,10 street,P0H1V0,mattawa,on,,Mattawa,3548021.0,35.0,46.31349257,-78.71984132,algonquin nursing home,algonquin nursing home,ALGONQUIN NURSING HOME,207 Turcotte Park Road P.O. Box 270,"Mattawa, P0H1V0",North East,Algonquin Nursing Home Of Mattawa,Hôpital De Mattawa Hospital,Non-Profit,Home with approximately 73 beds,Yes,Yes,Yes,Yes,,Mattawa, P0H1V0,73.0,23.0,14.0,,,,,,,,
5,2459.0,allendale,long-term care home,Nursing and residential care facilities,Province of Ontario,,185,ontario street s,L9T2M4,milton,on,,Milton,3524009.0,35.0,43.51655054,-79.87240973,allendale,allendale,ALLENDALE,185 Ontario Street South,"Milton, L9T2M4",Mississauga Halton,The Regional Municipality Of Halton,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,,Milton, L9T2M4,200.0,38.0,20.0,1.0,Allendale,Milton,200.0,,0,,Inactive
6,2461.0,almonte country haven,long-term care home,Nursing and residential care facilities,Province of Ontario,,333,country street,K0A1A0,mississippi mills,on,,Mississippi Mills,3509030.0,35.0,45.2188403,-76.19075728,almonte country haven,almonte country haven,ALMONTE COUNTRY HAVEN,333 Country Street P.O. Box 250,"Almonte, K0A1A0",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 82 beds,No,Yes,Yes,Yes,,Almonte, K0A1A0,82.0,49.0,27.0,0.0,Almonte Country Haven,Almonte,82.0,<5,28,13,Active
7,2466.0,altamont care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,92,island road,M1C2P5,toronto,on,,Toronto,3520005.0,35.0,43.79854962,-79.14005432,altamont care community,altamont care community,ALTAMONT CARE COMMUNITY,92 Island Road,"Scarborough, M1C2P5",Central East,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 159 beds,Yes,Yes,Yes,Yes,,Scarborough, M1C2P5,159.0,33.0,19.0,1.0,Altamont Care Community,Scarborough,159.0,72,46,60,Active
8,2540.0,anson place care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,85,main street n,N0A1H0,hagersville,on,,Haldimand County,3528018.0,35.0,42.96738873,-80.04801284,anson place care centre,anson place care centre,ANSON PLACE CARE CENTRE,85 Main Street North,"Hagersville, N0A1H0",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Home with approximately 61 beds,Yes,Yes,No,Yes,,Hagersville, N0A1H0,61.0,22.0,12.0,2.0,Anson Place Care Centre,Hagersville,61.0,28,23,29,Active
9,2554.0,arbour creek long-term care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,2717,king street e,L8G1J3,hamilton,on,,Hamilton,3525005.0,35.0,43.22141329,-79.77670807,arbour creek long-term care centre,arbour creek long-term care centre,ARBOUR CREEK LONG-TERM CARE CENTRE,2717 King Street East,"Hamilton, L8G1J3",Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Gp Inc.,,For-Profit,Home with approximately 129 beds,No,Yes,No,No,,Hamilton, L8G1J3,129.0,60.0,20.0,3.0,Arbour Creek Long-Term Care Centre,Hamilton,129.0,0,0,<5,Active
