home_name,Placements for referrals from all prior locations (days),Placements for referrals from community (days),Placements for referrals from hospital (days),Antipsychotic Medication Use (%),Pressure Ulcers (%),Falls (%),Physical Restraints Use (%),Depression (%),Pain (%),cleaned_home_name,matched,name1,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
Albright Gardens Homes Inc.,342,331,436.5,26.0,3.8,19.5,5.4,34.8,2.3,"albright gardens homes, incorporated",False,"albright gardens homes, incorporated",5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Beamsville, L0R1B2,39.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,"albright gardens homes, incorporated",,0,,Inactive,,,,,231.0
Atikokan General Hospital,261,LV,261,41.4,8.4,14.2,9.0,42.4,11.2,atikokan general hospital,True,atikokan general hospital,120 Dorothy Street,North West,Non-Profit,No,No,Yes,Yes,Atikokan, P0T1C0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,atikokan general hospital,,,,,Atikokan,3559001.0,48.754155,-91.59760899999999,26.0
Bella Senior Care Residences Inc.,91,100,29,29.2,4.5,20.9,2.2,13.0,7.4,bella senior care residences inc.,True,bella senior care residences inc.,8720 Willoughby Drive,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Niagara Falls, L2G7X3,66.0,"(46.0, 172.0]",3.0,45.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,bella senior care residences inc.,,,,,,,,,161.0
Berkshire Care Centre,32.5,34,26,21.2,3.9,15.8,6.4,16.8,3.8,berkshire care centre,True,berkshire care centre,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4P4,172.0,"(46.0, 172.0]",3.0,72.0,"(23.0, 86.0]",3.0,25.0,"(11.0, 44.0]",3.0,berkshire care centre,0,0,<5,Active,Windsor,3537039.0,42.31631637,-83.04161991,231.0
Centre d'accueil Roger-Séguin,112,109,153.5,11.5,1.3,16.3,6.1,30.0,0.3,centre d'accueil roger seguin,False,centre d'accueil roger seguin,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No,Clarence Creek, K0A1N0,51.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,centre d'accueil roger seguin,,0,,Inactive,Clarence-Rockland,3502036.0,45.51025689,-75.21616879,113.0
Copernicus Lodge,275,279,LV,29.8,2.1,10.5,4.9,23.0,2.1,copernicus lodge,True,copernicus lodge,66 Roncesvalles Avenue,Toronto Central,Non-Profit,Yes,Yes,Yes,No,Toronto, M6R3A7,24.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,copernicus lodge,0,0,<5,Active,Toronto,3520005.0,43.64020808,-79.447311,228.0
Elm Grove Living Centre Inc.,131,139,LV,28.8,2.0,13.6,0.0,6.5,0.2,elm grove living centre,False,elm grove living centre,35 Elm Grove Avenue,Toronto Central,For-Profit,No,Yes,No,Yes,Toronto, M6K2J2,14.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,elm grove living centre,44,17,43,Active,Toronto,3520005.0,43.64031588,-79.4307008,126.0
Fairview Mennonite Home,110,137,LV,16.1,3.1,21.6,2.9,47.0,2.8,fairview mennonite home,True,fairview mennonite home,515 Langs Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3H5E4,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fairview mennonite home,,,,,Cambridge,3530010.0,43.398556400000004,-80.34314607,84.0
Geraldton District Hospital,500,LV,504,62.8,1.4,5.2,8.8,7.5,48.0,geraldton district hospital,True,geraldton district hospital,500 Hogarth Avenue West,North West,Non-Profit,No,Yes,Yes,Yes,Geraldton, P0T1M0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,geraldton district hospital,,,,,Greenstone,3558075.0,49.7226939,-86.9547123,19.0
Grove Park Home for Senior Citizens,226,226,LV,12.3,4.1,18.3,1.5,30.0,6.4,grove park home for senior citizens,True,grove park home for senior citizens,234 Cook Street,North Simcoe Muskoka,Non-Profit,No,Yes,No,Yes,Barrie, L4M4H5,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,grove park home for senior citizens,,,,,Barrie,3543042.0,44.406020700000006,-79.66946724,143.0
