,DGUID,DBPOP,Reporting_PHU,copd-percent,asthma-percent,hbp-percent,smokers-percent,Census,phu_weight,TotalStratified,FatalStratified,Location,fid,DBUID,PRUID_x,CSDUID_x,CMAUID_x,CMAPUID_x,HR_UID,DAUID,lon,lat,prox_idx_emp,prox_idx_pharma,prox_idx_childcare,prox_idx_health,prox_idx_grocery,prox_idx_educpri,prox_idx_educsec,prox_idx_lib,prox_idx_parks,prox_idx_transit,amenity
0,2017A00073570,1131052,York Region Public Health Services,2.0 %,5.1 %,17.6 %,10.5 %,13200,85.68575757575758,0.11537878787878787,0.007651515151515152,York Regional Health Unit,117031.0,35190950016.0,35.0,3519036.0,535.0,35535.0,3570.0,35190950.0,-79.4351,43.8848,0.0337,0.0347,0.028,0.0082,0.0322,0.0945,0.04975,0.0666,0.0608,0.0056,0.0766418415707515
1,2017A00073595,2694831,Toronto Public Health,2.2 %,7.8 %,15.8 %,13.3 %,35600,75.6975,0.14160112359550564,0.009634831460674158,City of Toronto Health Unit,126961.5,35202564006.5,35.0,3520005.0,535.0,35535.0,3595.0,35202564.0,-79.4019,43.7063,0.0939,0.0494,0.0657,0.0222,0.0663,0.16444999999999999,0.0729,0.0934,0.0732,0.0348,0.6598078462770219
2,2017A00073536,561949,Halton Region Health Department,2.7 %,6.9 %,17.8 %,11.7 %,8700,64.59183908045976,0.052643678160919534,0.002528735632183908,Halton Regional Health Unit,22631.0,35240577008.0,35.0,3524002.0,535.0,35535.0,3536.0,35240577.0,-79.7986,43.4539,0.0307,0.0306,0.03665,0.0099,0.0341,0.088,0.0495,0.0641,0.0678,0.0054,0.10638814670876899
3,2017A00073551,936763,Ottawa Public Health,2.9 %,10.2 %,13.5 %,12.8 %,15900,58.91591194968554,0.08628930817610064,0.004779874213836478,City of Ottawa Health Unit,63544.0,35061147014.0,35.0,3506008.0,505.0,35505.0,3551.0,35061147.0,-75.6999,45.3669,0.0243,0.0264,0.0892,0.0072,0.0447,0.1168,0.0586,0.0714,0.0673,0.0146,0.206031392905698
4,2017A00073553,1388271,Peel Public Health,3.2 %,6.0 %,18.5 %,12.5 %,25500,54.442,0.09203921568627452,0.004470588235294118,Peel Regional Health Unit,72647.0,35211591005.0,35.0,3521010.0,535.0,35535.0,3553.0,35211591.0,-79.729,43.6711,0.0496,0.0309,0.0353,0.0076,0.0365,0.10875,0.0515,0.0659,0.0613,0.0032,0.18473534263007899
5,2017A00073565,534525,"Region of Waterloo, Public Health",3.3 %,6.9 %,18.0 %,16.5 %,10000,53.4525,0.0694,0.0045,Waterloo Health Unit,103724.5,35300657001.5,35.0,3530013.0,541.0,35541.0,3565.0,35300657.0,-80.4815,43.4376,0.0282,0.0221,0.04355,0.0045,0.0374,0.0959,0.0481,0.0778,0.0607,0.0076,0.143807339449541
6,2017A00073539,61222,Huron Perth District Health Unit,3.4 %,10.3 %,21.7 %,18.7 %,1200,51.01833333333333,0.0375,0.004166666666666667,Huron County Health Unit,33238.5,35400166010.5,35.0,3540028.0,,,3539.0,35400166.0,-81.50635,43.64815,0.0009,0.02525,0.03095,0.0060999999999999995,0.038,0.076,0.058249999999999996,0.0934,0.0349,,0.0
7,2017A00073554,77366,Huron Perth District Health Unit,5.5 %,11.0 %,18.9 %,18.5 %,2500,30.9464,0.018000000000000002,0.002,Perth District Health Unit,76679.0,35310161003.0,35.0,3531025.0,553.0,35553.0,3554.0,35310161.0,-80.9866,43.4207,0.0052,0.0228,0.0244,0.0112,0.0341,0.0885,0.051449999999999996,0.0814,0.0505,,0.0
8,2017A00073530,655838,Durham Region Health Department,4.1 %,9.4 %,16.6 %,15.2 %,15600,42.040897435897435,0.06173076923076923,0.006987179487179487,Durham Regional Health Unit,6604.5,35180775007.5,35.0,3518013.0,532.0,35532.0,3530.0,35180775.0,-78.9428,43.9043,0.0257,0.0193,0.0316,0.0075,0.0359,0.0882,0.05,0.0693,0.04005,0.005,0.12507095553453199
9,2017A00073562,149563,Thunder Bay District Health Unit,4.3 %,8.3 %,23.3 %,18.3 %,3700,40.42243243243243,0.019999999999999997,0.0002702702702702703,Thunder Bay District Health Unit,99000.5,35580370001.5,35.0,3558004.0,595.0,35595.0,3562.0,35580370.0,-89.23755,48.451049999999995,0.0097,0.016,0.0153,0.0058,0.0363,0.1083,0.0526,0.0778,0.0302,0.0088,0.0844444444444444
10,2017A00073555,130640,Peterborough Public Health,4.5 %,9.8 %,21.3 %,19.6 %,3900,33.4974358974359,0.02205128205128205,0.0007692307692307693,Peterborough County - City Health Unit,78397.0,35150241015.0,35.0,3515014.0,529.0,35529.0,3555.0,35150241.0,-78.3232,44.3236,0.0036,0.02735,0.0336,0.0039,0.0354,0.0678,0.0554,0.0824,0.0405,0.0001,0.0471976401179941
11,2017A00073544,454355,Middlesex-London Health Unit,4.5 %,6.7 %,17.1 %,14.8 %,12100,37.55,0.03413223140495868,0.002892561983471074,Middlesex-London Health Unit,46500.0,35390713009.0,35.0,3539036.0,555.0,35555.0,3544.0,35390713.0,-81.2746,42.9815,0.024,0.0201,0.0241,0.0058,0.0343,0.0765,0.0515,0.0749,0.034,0.0069,0.103322823187
12,2017A00073566,267523,Wellington-Dufferin-Guelph Public Health,4.7 %,8.1 %,16.0 %,14.9 %,7800,34.297820512820515,0.035512820512820516,0.0025641025641025645,Wellington-Dufferin-Guelph Health Unit,107457.5,35230297003.5,35.0,3523008.0,550.0,35550.0,3566.0,35230297.0,-80.2566,43.70895,0.008,0.0208,0.0328,0.0045,0.0414,0.0861,0.0537,0.0796,0.046,0.0044,0.10710839498230901
13,2017A00073568,397008,Windsor-Essex County Health Unit,4.7 %,7.1 %,21.0 %,17.3 %,11200,35.44714285714286,0.05258928571428572,0.0043749999999999995,Windsor-Essex County Health Unit,111176.0,35370578023.0,35.0,3537039.0,559.0,35559.0,3568.0,35370578.0,-82.9707,42.2797,0.016,0.02425,0.0129,0.0052,0.0443,0.0785,0.052,0.0753,0.0313,0.0067,0.0780780780780781
14,2017A00073549,74026,Northwestern Health Unit,4.8 %,9.8 %,21.8 %,19.0 %,1800,41.12555555555556,0.008333333333333333,0.0,Northwestern Health Unit,58475.5,35600296005.5,35.0,3560010.0,598.0,35598.0,3549.0,35600296.0,-93.4147,49.75775,0.0014,0.0169,0.015,0.0029,0.0525,0.0617,0.0607,0.0876,0.02135,,0.0
15,2017A00073540,103551,Chatham-Kent Health Unit,4.9 %,9.0 %,25.8 %,14.7 %,3100,33.40354838709678,0.026774193548387098,0.0003225806451612903,Chatham-Kent Health Unit,35269.0,35360306006.0,35.0,3536020.0,556.0,35556.0,3540.0,35360306.0,-82.1836,42.4108,0.0015,0.0215,0.0133,0.0032,0.03175,0.0744,0.0523,0.096,0.0376,,0.0
16,2017A00073537,534386,Hamilton Public Health Services,5.0 %,7.4 %,17.9 %,16.9 %,16000,33.399125,0.026562499999999996,0.0012499999999999998,City of Hamilton Health Unit,26993.0,35250596006.0,35.0,3525005.0,537.0,35537.0,3537.0,35250596.0,-79.8552,43.2353,0.0404,0.0316,0.0383,0.0093,0.0477,0.1225,0.0548,0.0707,0.0555,0.0156,0.272312703583062
17,2017A00073531,91348,Southwestern Public Health,5.2 %,6.3 %,23.0 %,19.3 %,2800,32.62428571428571,0.02035714285714286,0.0014285714285714286,Elgin-St. Thomas Health Unit,9968.5,35340170012.5,35.0,3534021.0,555.0,35555.0,3531.0,35340170.0,-81.18055,42.76545,0.0023,0.02685,0.0122,0.0039,0.0337,0.0569,0.05175,0.0824,0.026,,0.0
18,2017A00073552,108953,Southwestern Public Health,5.5 %,9.4 %,17.3 %,16.1 %,3700,29.446756756756756,0.015405405405405406,0.001081081081081081,Oxford County Health Unit,68448.5,35320243004.5,35.0,3532027.0,544.0,35544.0,3552.0,35320243.0,-80.74685,43.1172,0.0051,0.024,0.0267,0.0055,0.0337,0.0707,0.0709,0.1031,0.030350000000000002,,0.0
