DBUID,DBRPLAMX,DBRPLAMY,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,FEDUID,FEDNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,DAUID,HR_UID,ENG_LABEL,FRE_LABEL,Shape_Leng,Shape_Area
"35370811023",6992510.04823001,698072.19037500,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370811","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370811024",6992334.91714001,698288.67653500,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370811","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370811025",6993272.76760001,698478.24091000,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370811","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370812001",6998293.34090500,700501.28316000,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370812","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370812002",6997968.46654501,699049.69340000,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370812","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370853002",6960300.87408500,728061.50241501,"35",Ontario,"3537",Essex,CTY,"3537048",Tecumseh,"3537048",Tecumseh,T,"3570",Windsor--Sarnia,"35116",Windsor--Tecumseh,"559","1","559","35559",Windsor,B,"5590120.03","0120.03","35370005","35370853","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370813008",6998607.15930501,690072.91408500,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370813","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370813014",6986167.17600501,700307.88839000,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370813","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370813018",6998981.32571001,701126.05733500,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370813","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
"35370813019",6999320.57571500,700030.01740500,"35",Ontario,"3537",Essex,CTY,"3537003",Leamington,"3537003",Leamington,MU,"3570",Windsor--Sarnia,"35017",Chatham-Kent--Leamington,"557","3","557","35557",Leamington,D,,,"35370045","35370813","3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000
