HR_UID,ENG_LABEL,FRE_LABEL,Shape_Leng,Shape_Area,HR_UID_2,ENG_LABEL_2,FRE_LABEL_2
"3531",Elgin-St. Thomas Health Unit,Circonscription sanitaire d'Elgin-St. Thomas,293261.63052700000,1998848995.29999995232,"3501",Erie St. Clair,Érié St. Clair
"3539",Huron County Health Unit,Circonscription sanitaire du comté de Huron,341344.87026800000,3585616137.01000022888,"3501",Erie St. Clair,Érié St. Clair
"3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981,"3501",Erie St. Clair,Érié St. Clair
"3542",Lambton Health Unit,Circonscription sanitaire de Lambton,654375.10765899997,3196601494.53999996185,"3501",Erie St. Clair,Érié St. Clair
"3544",Middlesex-London Health Unit,Circonscription sanitaire de Middlesex-London,335153.18664600002,3523312721.46000003815,"3501",Erie St. Clair,Érié St. Clair
"3568",Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,430749.58101899998,1991396068.75000000000,"3501",Erie St. Clair,Érié St. Clair
"3527",Brant County Health Unit,Circonscription sanitaire du comté de Brant,166701.64545300000,1204670587.28999996185,"3502",South West,Sud-Ouest
"3531",Elgin-St. Thomas Health Unit,Circonscription sanitaire d'Elgin-St. Thomas,293261.63052700000,1998848995.29999995232,"3502",South West,Sud-Ouest
"3533",Grey Bruce Health Unit,Circonscription sanitaire de Grey Bruce,1096318.14076999994,9059314836.39999961853,"3502",South West,Sud-Ouest
"3534",Haldimand-Norfolk Health Unit,Circonscription sanitaire de Haldimand-Norfolk,1091354.27053000010,3055060062.76999998093,"3502",South West,Sud-Ouest
"3539",Huron County Health Unit,Circonscription sanitaire du comté de Huron,341344.87026800000,3585616137.01000022888,"3502",South West,Sud-Ouest
"3540",Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,417786.33670799999,2641962209.28000020981,"3502",South West,Sud-Ouest
"3542",Lambton Health Unit,Circonscription sanitaire de Lambton,654375.10765899997,3196601494.53999996185,"3502",South West,Sud-Ouest
"3544",Middlesex-London Health Unit,Circonscription sanitaire de Middlesex-London,335153.18664600002,3523312721.46000003815,"3502",South West,Sud-Ouest
"3552",Oxford County Health Unit,Circonscription sanitaire du comté d'Oxford,229351.99895600000,2164444557.30000019073,"3502",South West,Sud-Ouest
"3554",Perth District Health Unit,Circonscription sanitaire du district de Perth,258538.22949800000,2336944694.03999996185,"3502",South West,Sud-Ouest
"3565",Waterloo Health Unit,Circonscription sanitaire de Waterloo,187498.49512400001,1456000866.71000003815,"3502",South West,Sud-Ouest
"3566",Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,405003.86612999998,4393653327.30000019073,"3502",South West,Sud-Ouest
"3527",Brant County Health Unit,Circonscription sanitaire du comté de Brant,166701.64545300000,1204670587.28999996185,"3503",Waterloo Wellington,Waterloo Wellington
"3533",Grey Bruce Health Unit,Circonscription sanitaire de Grey Bruce,1096318.14076999994,9059314836.39999961853,"3503",Waterloo Wellington,Waterloo Wellington
"3536",Halton Regional Health Unit,Circonscription sanitaire régionale de Halton,196372.99400800001,1019047659.79999995232,"3503",Waterloo Wellington,Waterloo Wellington
"3537",City of Hamilton Health Unit,Circonscription sanitaire de la cité de Hamilton,174718.31671899999,1209133930.88000011444,"3503",Waterloo Wellington,Waterloo Wellington
"3539",Huron County Health Unit,Circonscription sanitaire du comté de Huron,341344.87026800000,3585616137.01000022888,"3503",Waterloo Wellington,Waterloo Wellington
"3552",Oxford County Health Unit,Circonscription sanitaire du comté d'Oxford,229351.99895600000,2164444557.30000019073,"3503",Waterloo Wellington,Waterloo Wellington
"3553",Peel Regional Health Unit,Circonscription sanitaire régionale de Peel,309469.83892299997,1316629115.15000009537,"3503",Waterloo Wellington,Waterloo Wellington
"3554",Perth District Health Unit,Circonscription sanitaire du district de Perth,258538.22949800000,2336944694.03999996185,"3503",Waterloo Wellington,Waterloo Wellington
"3565",Waterloo Health Unit,Circonscription sanitaire de Waterloo,187498.49512400001,1456000866.71000003815,"3503",Waterloo Wellington,Waterloo Wellington
"3566",Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,405003.86612999998,4393653327.30000019073,"3503",Waterloo Wellington,Waterloo Wellington
"3527",Brant County Health Unit,Circonscription sanitaire du comté de Brant,166701.64545300000,1204670587.28999996185,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3534",Haldimand-Norfolk Health Unit,Circonscription sanitaire de Haldimand-Norfolk,1091354.27053000010,3055060062.76999998093,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3536",Halton Regional Health Unit,Circonscription sanitaire régionale de Halton,196372.99400800001,1019047659.79999995232,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3537",City of Hamilton Health Unit,Circonscription sanitaire de la cité de Hamilton,174718.31671899999,1209133930.88000011444,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3546",Niagara Regional Area Health Unit,Circonscription sanitaire régionale de Niagara,272440.79615900002,1988472858.81999993324,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3552",Oxford County Health Unit,Circonscription sanitaire du comté d'Oxford,229351.99895600000,2164444557.30000019073,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3565",Waterloo Health Unit,Circonscription sanitaire de Waterloo,187498.49512400001,1456000866.71000003815,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3566",Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,405003.86612999998,4393653327.30000019073,"3504",Hamilton Niagara Haldimand Brant,Hamilton Niagara Haldimand Brant
"3533",Grey Bruce Health Unit,Circonscription sanitaire de Grey Bruce,1096318.14076999994,9059314836.39999961853,"3505",Central West,Centre-Ouest
"3536",Halton Regional Health Unit,Circonscription sanitaire régionale de Halton,196372.99400800001,1019047659.79999995232,"3505",Central West,Centre-Ouest
"3553",Peel Regional Health Unit,Circonscription sanitaire régionale de Peel,309469.83892299997,1316629115.15000009537,"3505",Central West,Centre-Ouest
"3560",Simcoe Muskoka District Health Unit,Circonscription sanitaire du district de Simcoe Muskoka,1731101.09563000011,10234824348.79999923706,"3505",Central West,Centre-Ouest
"3566",Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,405003.86612999998,4393653327.30000019073,"3505",Central West,Centre-Ouest
"3570",York Regional Health Unit,Circonscription sanitaire régionale de York,244497.00713600000,2191146335.90999984741,"3505",Central West,Centre-Ouest
"3595",City of Toronto Health Unit,Circonscription sanitaire de la cité de Toronto,212865.55502699999,665110177.62699997425,"3505",Central West,Centre-Ouest
"3536",Halton Regional Health Unit,Circonscription sanitaire régionale de Halton,196372.99400800001,1019047659.79999995232,"3506",Mississauga Halton,Mississauga Halton
"3537",City of Hamilton Health Unit,Circonscription sanitaire de la cité de Hamilton,174718.31671899999,1209133930.88000011444,"3506",Mississauga Halton,Mississauga Halton
"3553",Peel Regional Health Unit,Circonscription sanitaire régionale de Peel,309469.83892299997,1316629115.15000009537,"3506",Mississauga Halton,Mississauga Halton
"3566",Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,405003.86612999998,4393653327.30000019073,"3506",Mississauga Halton,Mississauga Halton
"3595",City of Toronto Health Unit,Circonscription sanitaire de la cité de Toronto,212865.55502699999,665110177.62699997425,"3506",Mississauga Halton,Mississauga Halton
"3595",City of Toronto Health Unit,Circonscription sanitaire de la cité de Toronto,212865.55502699999,665110177.62699997425,"3507",Toronto Central,Centre-Toronto
"3530",Durham Regional Health Unit,Circonscription sanitaire régionale de Durham,309314.19401199999,2738080245.07000017166,"3508",Central,Centre
"3553",Peel Regional Health Unit,Circonscription sanitaire régionale de Peel,309469.83892299997,1316629115.15000009537,"3508",Central,Centre
"3560",Simcoe Muskoka District Health Unit,Circonscription sanitaire du district de Simcoe Muskoka,1731101.09563000011,10234824348.79999923706,"3508",Central,Centre
"3566",Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,405003.86612999998,4393653327.30000019073,"3508",Central,Centre
"3570",York Regional Health Unit,Circonscription sanitaire régionale de York,244497.00713600000,2191146335.90999984741,"3508",Central,Centre
"3595",City of Toronto Health Unit,Circonscription sanitaire de la cité de Toronto,212865.55502699999,665110177.62699997425,"3508",Central,Centre
"3530",Durham Regional Health Unit,Circonscription sanitaire régionale de Durham,309314.19401199999,2738080245.07000017166,"3509",Central East,Centre-Est
"3535","Haliburton, Kawartha, Pine Ridge District Health Unit","Circonscription sanitaire du district de Haliburton, Kawartha et Pine Ridge",841245.95352800004,10259359459.60000038147,"3509",Central East,Centre-Est
"3538",Hastings and Prince Edward Counties Health Unit,Circonscription sanitaire des comtés de Hastings et Prince Edward,1129597.82581999991,7682618460.39000034332,"3509",Central East,Centre-Est
"3555",Peterborough County - City Health Unit,Circonscription sanitaire du comté et de la cité de Peterborough,299893.04530599999,4381309604.61999988556,"3509",Central East,Centre-Est
"3557",Renfrew County and District Health Unit,Circonscription sanitaire du comté et du district de Renfrew,763171.93033000000,16931293740.70000076294,"3509",Central East,Centre-Est
"3560",Simcoe Muskoka District Health Unit,Circonscription sanitaire du district de Simcoe Muskoka,1731101.09563000011,10234824348.79999923706,"3509",Central East,Centre-Est
"3570",York Regional Health Unit,Circonscription sanitaire régionale de York,244497.00713600000,2191146335.90999984741,"3509",Central East,Centre-Est
"3595",City of Toronto Health Unit,Circonscription sanitaire de la cité de Toronto,212865.55502699999,665110177.62699997425,"3509",Central East,Centre-Est
"3535","Haliburton, Kawartha, Pine Ridge District Health Unit","Circonscription sanitaire du district de Haliburton, Kawartha et Pine Ridge",841245.95352800004,10259359459.60000038147,"3510",South East,Sud-Est
"3538",Hastings and Prince Edward Counties Health Unit,Circonscription sanitaire des comtés de Hastings et Prince Edward,1129597.82581999991,7682618460.39000034332,"3510",South East,Sud-Est
"3541","Kingston, Frontenac and Lennox and Addington Health Unit","Circonscription sanitaire de Kingston, Frontenac et Lennox et Addington",927747.53404299996,7486681569.68999958038,"3510",South East,Sud-Est
"3543","Leeds, Grenville and Lanark District Health Unit","Circonscription sanitaire du district de Leeds, Grenville et Lanark",781921.56370000006,7057561077.72000026703,"3510",South East,Sud-Est
"3551",City of Ottawa Health Unit,Circonscription sanitaire de la ville d'Ottawa,277375.67426399997,2985482024.34999990463,"3510",South East,Sud-Est
"3555",Peterborough County - City Health Unit,Circonscription sanitaire du comté et de la cité de Peterborough,299893.04530599999,4381309604.61999988556,"3510",South East,Sud-Est
"3557",Renfrew County and District Health Unit,Circonscription sanitaire du comté et du district de Renfrew,763171.93033000000,16931293740.70000076294,"3510",South East,Sud-Est
"3558",The Eastern Ontario Health Unit,Circonscription sanitaire de l'Est de l'Ontario,609169.79353100003,5568738719.52999973297,"3510",South East,Sud-Est
"3538",Hastings and Prince Edward Counties Health Unit,Circonscription sanitaire des comtés de Hastings et Prince Edward,1129597.82581999991,7682618460.39000034332,"3511",Champlain,Champlain
"3541","Kingston, Frontenac and Lennox and Addington Health Unit","Circonscription sanitaire de Kingston, Frontenac et Lennox et Addington",927747.53404299996,7486681569.68999958038,"3511",Champlain,Champlain
"3543","Leeds, Grenville and Lanark District Health Unit","Circonscription sanitaire du district de Leeds, Grenville et Lanark",781921.56370000006,7057561077.72000026703,"3511",Champlain,Champlain
"3547",North Bay Parry Sound District Health Unit,Circonscription sanitaire du district de North Bay Parry Sound,3289144.72911999980,19586849285.09999847412,"3511",Champlain,Champlain
"3551",City of Ottawa Health Unit,Circonscription sanitaire de la ville d'Ottawa,277375.67426399997,2985482024.34999990463,"3511",Champlain,Champlain
"3557",Renfrew County and District Health Unit,Circonscription sanitaire du comté et du district de Renfrew,763171.93033000000,16931293740.70000076294,"3511",Champlain,Champlain
"3558",The Eastern Ontario Health Unit,Circonscription sanitaire de l'Est de l'Ontario,609169.79353100003,5568738719.52999973297,"3511",Champlain,Champlain
"3530",Durham Regional Health Unit,Circonscription sanitaire régionale de Durham,309314.19401199999,2738080245.07000017166,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
"3533",Grey Bruce Health Unit,Circonscription sanitaire de Grey Bruce,1096318.14076999994,9059314836.39999961853,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
"3535","Haliburton, Kawartha, Pine Ridge District Health Unit","Circonscription sanitaire du district de Haliburton, Kawartha et Pine Ridge",841245.95352800004,10259359459.60000038147,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
"3547",North Bay Parry Sound District Health Unit,Circonscription sanitaire du district de North Bay Parry Sound,3289144.72911999980,19586849285.09999847412,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
"3557",Renfrew County and District Health Unit,Circonscription sanitaire du comté et du district de Renfrew,763171.93033000000,16931293740.70000076294,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
"3560",Simcoe Muskoka District Health Unit,Circonscription sanitaire du district de Simcoe Muskoka,1731101.09563000011,10234824348.79999923706,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
