,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
0,1200 Afton Drive,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Sarnia, N7S6L6,67,"(46.0, 172.0]",3,34,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,afton park place long term care community,,,,,Sarnia,3538030,128,42.98,-82.36
1,12 Tranquility Avenue,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Ancaster, L9G5C2,20,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,the meadows,,,,,,,128,43.21,-80.01
2,329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Waterdown, L0R2H0,28,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,alexander place,,,,,Hamilton,3525005,128,43.34,-79.90
3,145 Dawson Street,North East,,Yes,Yes,Yes,Yes,Thessalon, P0R1L0,23,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,algoma manor nursing home,,,,,Thessalon,3557028,96,46.26,-83.56
4,207 Turcotte Park Road P.O. Box 270,North East,Non-Profit,Yes,Yes,Yes,Yes,Mattawa, P0H1V0,23,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,algonquin nursing home,,,,,Mattawa,3548021,73,46.31,-78.72
5,185 Ontario Street South,Mississauga Halton,Municipal,No,Yes,Yes,Yes,Milton, L9T2M4,38,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,15,"(11.0, 44.0]",3,allendale,,0,,Inactive,Milton,3524009,200,43.52,-79.87
6,333 Country Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,Yes,Almonte, K0A1A0,49,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,almonte country haven,<5,28,13,Active,Mississippi Mills,3509030,82,45.22,-76.19
7,92 Island Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1C2P5,33,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,altamont care community,72,46,60,Active,Toronto,3520005,159,43.80,-79.14
8,85 Main Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,No,Yes,Hagersville, N0A1H0,22,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,anson place care centre,28,23,29,Active,Haldimand County,3528018,61,42.97,-80.05
9,2717 King Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,Hamilton, L8G1J3,60,"(46.0, 172.0]",3,20,"(16.0, 23.0]",2,14,"(11.0, 44.0]",3,arbour creek long-term care centre,0,0,<5,Active,Hamilton,3525005,129,43.22,-79.78
10,564 Tanner Drive,South East,For-Profit,No,Yes,Yes,Yes,Kingston, K7M0C3,70,"(46.0, 172.0]",3,33,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,arbour heights,,,,,Kingston,3510010,174,44.24,-76.56
11,120 Dorothy Street,North West,Non-Profit,No,No,Yes,Yes,Atikokan, P0T1C0,11,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,atikokan general hospital,,,,,Atikokan,3559001,26,48.75,-91.60
12,100 Michaud Street,North East,Municipal,Yes,Yes,Yes,No,Sturgeon Falls, P2B2Z4,47,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,au chateau,,,,,West Nipissing / Nipissing Ouest,3548055,162,46.37,-79.92
13,355 Broadway Avenue,Central West,For-Profit,Yes,Yes,Yes,Yes,Orangeville, L9W3Y3,30,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,avalon retirement centre,0,0,<5,Active,Orangeville,3522014,137,43.92,-80.12
14,196 Wellington Street P. O. Box 190,South West,For-Profit,No,Yes,Yes,Yes,Wardsville, N0L2N0,32,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,babcock community care centre,,,,,Southwest Middlesex,3539005,60,42.66,-81.76
15,3000 Banwell Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Tecumseh, N8N2M4,74,"(46.0, 172.0]",3,36,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,banwell gardens care centre,,,,,Windsor,3537039,142,42.31,-82.90
16,120 Barnswallow Drive,Waterloo Wellington,For-Profit,No,Yes,No,Yes,Elmira, N3B2Y9,17,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,barnswallow place care community,,,,,Woolwich,3530035,96,43.59,-80.58
17,499 Hume Street,North Simcoe Muskoka,For-Profit,No,Yes,No,No,Collingwood, L9Y4H8,14,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,bay haven nursing home,,,,,Collingwood,3543031,60,44.50,-80.20
18,900 Sandy Beach Road,Central East,For-Profit,No,Yes,Yes,Yes,Pickering, L1W1Z4,53,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,bay ridges,,0,,Inactive,Pickering,3518001,124,43.83,-79.08
19,100 Elvira Street P.O. Bag 3000,Champlain,For-Profit,No,Yes,Yes,No,Kemptville, K0G1J0,22,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,4,"(0.0, 5.0]",0,bayfield manor,,,,,North Grenville,3507065,66,45.02,-75.65
20,330 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L8N3T9,46,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,baywoods place,,,,,Hamilton,3525005,128,43.25,-79.86
21,5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Beamsville, L0R1B2,39,"(31.0, 46.0]",2,25,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,"albright gardens homes, incorporated",,0,,Inactive,,,231,43.15,-79.48
22,55 Belmont Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M5R1R1,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,belmont house,,0,,Inactive,Toronto,3520005,140,43.67,-79.39
23,250 Bridge Street West,South East,For-Profit,No,Yes,No,Yes,Belleville, K8P5N3,35,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,belmont long term care facility,,0,,Inactive,Belleville,3512005,128,44.16,-77.40
24,21 Belvedere Avenue,North East,Municipal,No,Yes,Yes,Yes,Parry Sound, P2A2A2,40,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,belvedere heights,,,,,Parry Sound,3549032,101,45.34,-80.04
25,2920 Lawrence Avenue East,Central East,Municipal,Yes,Yes,Yes,Yes,Scarborough, M1P2T8,35,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,bendale acres,0,0,0,Active,Toronto,3520005,302,43.75,-79.25
26,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,Georgetown, L7G2B8,24,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,bennett health care centre,,,,,Halton Hills,3524015,66,43.64,-79.93
27,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4P4,172,"(46.0, 172.0]",3,72,"(23.0, 86.0]",3,25,"(11.0, 44.0]",3,berkshire care centre,0,0,<5,Active,Windsor,3537039,231,42.32,-83.04
28,63 Carrie Street,North West,Non-Profit,No,Yes,Yes,Yes,Thunder Bay, P7A4J2,35,"(31.0, 46.0]",2,29,"(23.0, 86.0]",3,19,"(11.0, 44.0]",3,bethammi nursing home,,,,,Thunder Bay,3558004,110,48.44,-89.24
29,23 Second Street,Central,Non-Profit,No,Yes,Yes,No,Markham, L3R2C2,16,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,bethany lodge,<5,<5,<5,Active,Markham,3519036,128,43.86,-79.30
30,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7N3N6,24,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,billings court manor,,,,,Burlington,3524002,160,43.36,-79.79
31,237 Lakeview Drive R. R. #1,North West,For-Profit,Yes,Yes,Yes,Yes,Kenora, P9N4J7,53,"(46.0, 172.0]",3,31,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,birchwood terrace,,,,,Kenora,3560010,96,49.77,-94.50
32,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,Dundas, L9H3B7,31,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,blackadar continuing care centre,<5,0,0,Active,Hamilton,3525005,80,43.26,-79.97
33,10 Mary Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Blenheim, N0P1A0,33,"(31.0, 46.0]",2,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,blenheim community village,,,,,Chatham-Kent,3536020,65,42.34,-81.99
34,13621 Ninth  Line RR #2,Central,For-Profit,Yes,Yes,Yes,Yes,Stouffville, L4A7X3,39,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,bloomington cove care community,,,,,Whitchurch-Stouffville,3519044,112,44.00,-79.26
35,37792 Zurich-Hensall RD,South West,Non-Profit,No,Yes,No,No,Zurich, N0M2T0,21,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,blue water rest home,<5,0,0,Active,Bluewater,3540010,65,43.42,-81.64
36,1 Royal Parkside Drive,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,No,Barrie, L4M0C4,35,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,bob rumball home for the deaf,,,,,Barrie,3543042,64,44.36,-79.62
37,1 Bobier Lane,South West,Municipal,Yes,Yes,Yes,No,Dutton, N0L1J0,19,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,bobier villa,,,,,Dutton/Dunwich,3534030,57,42.67,-81.51
38,525 Causley Street P.O. Box 970,North East,Non-Profit,No,Yes,No,Yes,Blind River, P0R1B0,12,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,north shore health network â€“ eldcap unit,,,,,,,10,46.19,-82.92
