address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
1200 Afton Drive,Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,No,Yes,Yes,Yes,Sarnia, N7S6L6,128.0,67.0,"(46.0, 172.0]",3.0,34.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,afton park place long term care community,,,,,Sarnia,3538030.0,35.0,42.97632532,-82.36144406
5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),"Albright Gardens Homes, Incorporated",,Non-Profit,No,Yes,Yes,No,Beamsville, L0R1B2,231.0,39.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,"albright gardens homes, incorporated",,0,,Inactive,,,,,
329 Parkside Drive P. O.  Box 50,Hamilton Niagara Haldimand Brant (Hnhb),Waterdown Long Term Care Centre Inc.,,For-Profit,Yes,Yes,Yes,Yes,Waterdown, L0R2H0,128.0,28.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,alexander place,,,,,Hamilton,3525005.0,35.0,43.34234541,-79.90081952
145 Dawson Street,North East,Algoma Manor Nursing Home,,,Yes,Yes,Yes,Yes,Thessalon, P0R1L0,96.0,23.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,algoma manor nursing home,,,,,Thessalon,3557028.0,35.0,46.263461799999995,-83.56324898
207 Turcotte Park Road P.O. Box 270,North East,Algonquin Nursing Home Of Mattawa,Hôpital De Mattawa Hospital,Non-Profit,Yes,Yes,Yes,Yes,Mattawa, P0H1V0,73.0,23.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,algonquin nursing home,,,,,Mattawa,3548021.0,35.0,46.31349257,-78.71984132
185 Ontario Street South,Mississauga Halton,The Regional Municipality Of Halton,,Municipal,No,Yes,Yes,Yes,Milton, L9T2M4,200.0,38.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,15.0,"(11.0, 44.0]",3.0,allendale,,0,,Inactive,Milton,3524009.0,35.0,43.51655054,-79.87240973
333 Country Street P.O. Box 250,Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Almonte, K0A1A0,82.0,49.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,almonte country haven,<5,28,13,Active,Mississippi Mills,3509030.0,35.0,45.2188403,-76.19075728
92 Island Road,Central East,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1C2P5,159.0,33.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,altamont care community,72,46,60,Active,Toronto,3520005.0,35.0,43.79854962,-79.14005432
85 Main Street North,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Yes,Yes,No,Yes,Hagersville, N0A1H0,61.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,anson place care centre,28,23,29,Active,Haldimand County,3528018.0,35.0,42.96738873,-80.04801284
2717 King Street East,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Gp Inc.,,For-Profit,No,Yes,No,No,Hamilton, L8G1J3,129.0,60.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,14.0,"(11.0, 44.0]",3.0,arbour creek long-term care centre,0,0,<5,Active,Hamilton,3525005.0,35.0,43.22141329,-79.77670807
564 Tanner Drive,South East,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,No,Yes,Yes,Yes,Kingston, K7M0C3,174.0,70.0,"(46.0, 172.0]",3.0,33.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,arbour heights,,,,,Kingston,3510010.0,35.0,44.23937071,-76.55865852
120 Dorothy Street,North West,Atikokan General Hospital,,Non-Profit,No,No,Yes,Yes,Atikokan, P0T1C0,26.0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,atikokan general hospital,,,,,Atikokan,3559001.0,35.0,48.754155,-91.59760899999999
100 Michaud Street,North East,The Board Of Management Of The District Of Nipissing West,,Municipal,Yes,Yes,Yes,No,Sturgeon Falls, P2B2Z4,162.0,47.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,au chateau,,,,,West Nipissing / Nipissing Ouest,3548055.0,35.0,46.37203452,-79.92058532
355 Broadway Avenue,Central West,488491 Ontario Inc.,,For-Profit,Yes,Yes,Yes,Yes,Orangeville, L9W3Y3,137.0,30.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,avalon retirement centre,0,0,<5,Active,Orangeville,3522014.0,35.0,43.9169995,-80.11650514
