"","Location","copd.prop","asthma.prop","hbp.prop","smokers.prop","FEMALEprop","MALEprop","TRANSGENDERprop","UNKNOWNprop","OTHERprop","CONTACTprop","NEITHERprop","TRAVEL.RELATEDprop","TOTALprop","prox_idx_emp","prox_idx_pharma","prox_idx_childcare","prox_idx_health","prox_idx_grocery","prox_idx_educpri","prox_idx_educsec","prox_idx_lib","prox_idx_parks","prox_idx_transit","amenity"
"1","Brant County Health Unit",0.064,0.111,0.181,0.242,0.0117647058823529,0.00823529411764706,0,0,0,0.00843137254901961,0.00666666666666667,0.00352941176470588,0.02,0.0163,0.02285,0.0206,0.0046,0.0417,0.1004,0.049,0.0714,0.0445,4e-04,0.0841121495327103
"2","Chatham-Kent Health Unit",0.049,0.09,0.258,0.147,0.00774193548387097,0.0190322580645161,0,0,0,0.0161290322580645,0.00419354838709677,0.00225806451612903,0.0267741935483871,0.0015,0.0215,0.0133,0.0032,0.03175,0.0744,0.0523,0.096,0.0376,0,0
"3","City of Hamilton Health Unit",0.05,0.074,0.179,0.169,0.0159375,0.010625,0,0,0,0.013375,0.0084375,0.0036875,0.0265625,0.0404,0.0316,0.0383,0.0093,0.0477,0.1225,0.0548,0.0707,0.0555,0.0156,0.272312703583062
"4","City of Ottawa Health Unit",0.029,0.102,0.135,0.128,0.049559748427673,0.0364779874213836,0,0.000251572327044025,0,0.0211320754716981,0.0187421383647799,0,0.0862893081761006,0.0243,0.0264,0.0892,0.0072,0.0447,0.1168,0.0586,0.0714,0.0673,0.0146,0.206031392905698
"5","City of Toronto Health Unit",0.022,0.078,0.158,0.133,0.0779213483146067,0.0604494382022472,0,0.00317415730337079,5.61797752808989e-05,0.020561797752809,0.0487921348314607,0.00589887640449438,0.141601123595506,0.0939,0.0494,0.0657,0.0222,0.0663,0.16445,0.0729,0.0934,0.0732,0.0348,0.659807846277022
"6","Durham Regional Health Unit",0.041,0.094,0.166,0.152,0.0400641025641026,0.0216666666666667,0,0,0,0.0133974358974359,0.0432051282051282,0.00282051282051282,0.0617307692307692,0.0257,0.0193,0.0316,0.0075,0.0359,0.0882,0.05,0.0693,0.04005,0.005,0.125070955534532
"7","Elgin-St. Thomas Health Unit",0.052,0.063,0.23,0.193,0.0114285714285714,0.00892857142857143,0,0,0,0.0125,0.00357142857142857,0.00428571428571429,0.0203571428571429,0.0023,0.02685,0.0122,0.0039,0.0337,0.0569,0.05175,0.0824,0.026,0,0
"8","Grey Bruce Health Unit",0.075,0.062,0.21,0.206,0.00641025641025641,0.00346153846153846,0,0,0,0.00230769230769231,0.00487179487179487,0.00128205128205128,0.00987179487179487,9e-04,0.01625,0.02275,0.0036,0.0373,0.0582,0.0463,0.091,0.0315,0,0
"9","Haldimand-Norfolk Health Unit",0.075,0.054,0.174,0.214,0.0240384615384615,0.00980769230769231,0,0.000192307692307692,0,0.0075,0.0198076923076923,0.00115384615384615,0.0340384615384615,0.0016,0.02775,0.0171,0.0028,0.04685,0.0702,0.0573,0.0814,0.0448,0,0
"10","Haliburton, Kawartha, Pine Ridge District Health Unit",0.078,0.104,0.236,0.19,0.0109375,0.00552083333333333,0,0,0,0.00364583333333333,0.00895833333333333,0.0028125,0.0164583333333333,5e-04,0.0268,0.0185,0.0027,0.035,0.0692,0.049,0.0887,0.02965,0,0.00415260835712432
