,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
0,Almonte Country Haven,Almonte,82,<5,26,13,Active
1,Altamont Care Community,Scarborough,159,72,46,60,Active
2,Anson Place Care Centre,Hagersville,61,28,23,29,Active
3,Avalon Retirement Centre,Orangeville,137,0,0,<5,Active
4,Belmont House,Toronto,140,0,0,<5,Active
5,Bendale Acres,Scarborough,302,0,0,<5,Active
6,Berkshire Care Centre,Windsor,231,0,0,<5,Active
7,Bethany Lodge,Markham,128,<5,<5,<5,Active
8,Blue Water Rest Home,Zurich,65,<5,0,0,Active
9,Bradford Valley Care Community,Bradford,246,8,10,<5,Active
10,Braemar Retirement Centre,Wingham,69,0,0,<5,Active
11,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144,0,0,<5,Active
12,Burton Manor,Brampton,128,11,8,14,Active
13,Camilla Care Community,Mississauga,236,152,48,44,Active
14,Carefree Lodge,North York,127,<5,0,0,Active
15,Caressant Care Courtland,Courtland,55,0,0,<5,Active
16,Caressant Care Lindsay Nursing Home,Lindsay,124,<5,0,<5,Active
17,Carlingview Manor,Ottawa,303,93,39,61,Active
18,Cassellholme,North Bay,240,<5,0,0,Active
19,Castleview Wychwood Towers,Toronto,456,0,0,<5,Active
20,Cedarvale Terrace,Toronto,218,0,0,<5,Active
21,Centre d'Accueil Champlain,Vanier,160,0,0,<5,Active
22,Chartwell Aurora Long Term Care Residence,Aurora,235,32,10,8,Active
23,Chartwell Ballycliffe Long Term Care Residence,Ajax,100,13,28,31,Active
24,Chartwell Gibson Long Term Care Residence,North York,202,31,9,10,Active
25,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96,0,0,<5,Active
26,Chartwell Waterford Long Term Care Residence,Oakville,168,<5,0,<5,Active
27,Chartwell Westbury Long Term Care Residence,Etobicoke,187,61,20,23,Active
28,Chartwell Westmount Long Term Care Residence,Kitchener,160,<5,0,0,Active
29,Chartwell White Eagle Long Term Care Residence,Toronto,56,26,11,9,Active
30,Chartwell Woodhaven Long Term Care Residence,Markham,192,0,0,<5,Active
31,Cooksville Care Centre,Mississauga,192,40,6,17,Active
32,Copernicus Lodge,Toronto,228,0,0,<5,Active
33,Country Village Homes - Woodslee,Woodslee,104,0,19,<5,Active
34,Craiglee Nursing Home,Scarborough,169,<5,<5,7,Active
35,Cummer Lodge,North York,391,<5,<5,0,Active
36,Dom Lipa,Etobicoke,66,<5,0,0,Active
37,Downsview Long Term Care Centre,North York,252,35,23,71,Active
38,Dufferin Oaks,Shelburne,160,<5,<5,6,Active
39,Dundurn Place Care Centre,Hamilton,201,6,<5,<5,Active
40,Eagle Terrace,Newmarket,70,<5,<5,<5,Active
41,Earls Court Village,London,128,9,<5,8,Active
42,Eatonville Care Centre,Etobicoke,247,142,40,56,Active
43,Élisabeth-Bruyère Residence,Ottawa,71,10,5,<5,Active
44,Elm Grove Living Centre,Toronto,126,44,17,43,Active
45,Elmwood Place,London,90,<5,0,<5,Active
46,Erin Mills Lodge Nursing Home,Mississauga,86,29,16,22,Active
47,Extendicare Bayview,North York,205,60,8,13,Active
48,Extendicare Brampton,Brampton,150,13,<5,<5,Active
49,Extendicare Guildwood,Scarborough,169,36,7,12,Active
50,Extendicare Laurier Manor,Gloucester,242,30,21,35,Active
51,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256,<5,0,0,Active
52,Extendicare Oshawa,Oshawa,175,<5,0,0,Active
53,Extendicare Scarborough,Scarborough,154,11,<5,8,Active
54,Extendicare Southwood Lakes,Windsor,150,0,0,<5,Active
55,Extendicare Starwood,Nepean,192,0,0,5,Active
56,Extendicare West End Villa,Ottawa,242,0,0,<5,Active
57,Extendicare York,Sudbury,288,0,0,<5,Active
58,Faith Manor Nursing Home,Brampton,120,<5,0,<5,Active
59,Forest Heights,Kitchener,240,167,45,59,Active
60,Fountain View Care Community,East York,158,0,0,<5,Active
61,Franklin Gardens Long Term Care Home,Leamington,120,<5,0,<5,Active
62,Fudger House,Toronto,250,<5,0,0,Active
63,Garden Terrace,Kanata,160,0,0,<5,Active
64,Gardenview Long Term Care Home,Townsend,64,0,0,<5,Active
65,Garry J. Armstrong Home,Ottawa,180,0,0,<5,Active
66,Golden Manor,Timmins,177,<5,0,0,Active
67,Golden Years Nursing Home,Cambridge,88,0,0,<5,Active
68,Grace Manor,Brampton,120,43,10,25,Active
69,Greenwood Court,Stratford,45,0,<5,<5,Active
70,Harold and Grace Baker Centre,Toronto,120,8,13,17,Active
71,Hastings Manor Home for the Aged,Belleville,253,6,<5,5,Active
72,Hawthorne Place Care Centre,North York,269,45,31,77,Active
73,Hellenic Home - Scarborough,Scarborough,128,44,14,21,Active
74,Henley Place,London,192,<5,0,0,Active
75,Heritage Green Nursing Home,Stoney Creek,167,<5,<5,0,Active
76,Heron Terrace Long Term Care Community,Windsor,140,47,18,14,Active
77,Hogarth Riverview Manor,Thunder Bay,543,0,0,<5,Active
78,Humber Valley Terrace,Etobicoke (Rexdale),158,46,9,18,Active
79,Ina Grafton Gage Home,Scarborough,128,45,23,30,Active
80,Isabel and Arthur Meighen Manor,Toronto,168,61,42,45,Active
81,Kensington Village,London,78,<5,5,<5,Active
82,Kipling Acres,Etobicoke,337,53,13,11,Active
83,Kristus Darzs Latvian Home,Woodbridge,100,18,5,14,Active
84,Labdara Lithuanian Nursing Home,Etobicoke,90,0,0,<5,Active
85,Lakeshore Lodge,Etobicoke,150,41,11,17,Active
86,Lanark Heights Long Term Care Centre,Kitchener,160,<5,<5,<5,Active
87,Leamington Mennonite Home Long Term Care Residence,Leamington,84,0,0,<5,Active
88,MacKenzie Place,Newmarket,93,66,11,21,Active
89,Madonna Care Community,Orleans,160,47,30,31,Active
90,Main Street Terrace,Toronto,150,<5,0,0,Active
91,Malton Village Long Term Care Centre,Mississauga,160,<5,0,<5,Active
92,Manoir Marochel,Ottawa,64,29,7,15,Active
93,Maplewood,Brighton,49,<5,0,0,Active
94,Markhaven,Markham,96,9,17,16,Active
95,Maynard Nursing Home,Toronto,77,0,0,0,Active
96,McCall Centre Long Term Care Interim Unit,Etobicoke,21,0,0,<5,Active
97,Meadow Park (London),London,126,<5,<5,8,Active
98,Midland Gardens Care Community,Scarborough,299,0,<5,<5,Active
99,Mon Sheong Home for the Aged,Toronto,105,23,32,16,Active
100,Montfort,Ottawa,128,63,27,18,Active
101,Northview Nursing Home,Englehart,48,<5,0,0,Active
102,Norwood Nursing Home,Toronto,60,<5,0,<5,Active
103,Orchard Villa,Pickering,233,74,69,<5,Active
104,Owen Hill Care Community,Barrie,57,18,<5,11,Active
105,Parkview Manor Health Care Centre,Chesley,34,<5,0,0,Active
106,Peel Manor,Brampton,177,<5,<5,6,Active
107,peopleCare A.R. Goudie Kitchener,Kitchener,80,0,9,11,Active
108,peopleCare Oakcrossing London,London,160,0,0,<5,Active
109,Peter D. Clark Centre,Ottawa,216,5,<5,5,Active
110,Pinecrest (Plantagenet),Plantagenet,60,26,7,7,Active
111,Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65,33,29,32,Active
112,Pinehaven Nursing Home,Waterloo,84,0,0,<5,Active
113,Post Inn Village,Oakville,228,<5,0,<5,Active
114,ReachView Village,Uxbridge,100,<5,<5,<5,Active
115,Regina Gardens,Hamilton,128,0,0,<5,Active
116,Residence Saint-Louis,Ottawa,198,21,<5,17,Active
117,River Glen Haven Nursing Home,Sutton West,119,35,<5,18,Active
118,Rockcliffe Care Community,Scarborough,204,0,0,<5,Active
119,Royal Rose Place,Welland,96,0,17,<5,Active
120,Royal Terrace,Palmerston,67,0,0,0,Active
121,Seven Oaks,Scarborough,249,24,40,21,Active
122,Shelburne Long Term Care Home,Shelburne,60,20,18,18,Active
123,Sherbourne Place,Toronto,126,35,18,26,Active
124,Sheridan Villa,Mississauga,142,10,<5,7,Active
125,Sherwood Court Long Term Care Centre,Maple,96,0,0,0,Active
126,Silverthorn Care Community,Mississauga,160,0,0,<5,Active
127,South Centennial Manor,Iroquois Falls,69,<5,0,0,Active
128,Southlake Residential Care Village,Newmarket,224,0,0,<5,Active
129,St. Clair O'Connor Community Nursing Home,East York,25,6,8,8,Active
130,St. Gabriel's Villa of Sudbury,Chelmsford,128,0,0,<5,Active
131,St. George Care Community,Toronto,238,0,0,<5,Active
132,St. Joseph's at Fleming,Peterborough,200,<5,0,<5,Active
133,St. Joseph's Continuing Care Centre,Cornwall,150,0,0,<5,Active
134,St. Joseph's Lifecare Centre,Brantford,205,0,0,<5,Active
135,"St. Joseph's Villa, Sudbury",Sudbury,128,0,<5,<5,Active
136,St. Patrick's Home,Ottawa,288,9,0,<5,Active
137,Stoneridge Manor,Carleton Place,60,52,6,<5,Active
138,Strathcona Long Term Care,Mount Forest,87,0,0,<5,Active
139,Sun Parlor Home for Senior Citizens,Leamington,206,<5,<5,<5,Active
140,Sunnycrest Nursing Home,Whitby,136,<5,0,0,Active
141,Tall Pines Long Term Care Centre,Brampton,160,<5,0,<5,Active
142,Telfer Place,Paris,45,<5,0,0,Active
143,Temiskaming Lodge,Haileybury,83,<5,0,<5,Active
144,The Henley House,St. Catharines,160,0,0,0,Active
145,The Jewish Home for the Aged,North York,472,<5,<5,6,Active
146,The Kensington Gardens,Toronto,350,14,8,5,Active
147,The O'Neill Centre,Toronto,162,<5,0,<5,Active
148,The Perley and Rideau Veterans' Health Centre,Ottawa,450,10,7,25,Active
149,The Village at St. Clair,Windsor,256,0,0,<5,Active
150,The Village at University Gates,Waterloo,192,0,0,<5,Active
151,The Village of Erin Meadows,Mississauga,180,43,9,21,Active
152,The Village of Humber Heights,Etobicoke,192,20,6,9,Active
153,The Village of Riverside Glen,Guelph,192,0,0,<5,Active
154,Tony Stacey Centre for Veterans' Care,Toronto,100,<5,0,0,Active
155,Trinity Village Care Centre,Kitchener,150,29,14,38,Active
156,Twin Oaks of Maryhill,Maryhill,31,0,0,<5,Active
157,Ukrainian Canadian Care Centre,Etobicoke,152,25,<5,<5,Active
158,Union Villa,Unionville,160,0,0,<5,Active
159,Valleyview Residence,North York,174,<5,<5,<5,Active
160,Vermont Square,Toronto,130,<5,0,<5,Active
161,Villa Colombo Homes for the Aged,Toronto,391,9,<5,11,Active
162,Villa Colombo Seniors Centre (Vaughan),Vaughan,160,24,11,16,Active
163,Villa Forum,Mississauga,160,37,10,20,Active
164,Villa Leonardo Gambin,Woodbridge,168,31,11,23,Active
165,Vision Nursing Home,Sarnia,146,<5,<5,<5,Active
166,Wellesley Central Place,Toronto,150,43,16,21,Active
167,Wentworth Lodge,Dundas,160,<5,0,0,Active
168,Wesburn Manor,Etobicoke,192,<5,0,0,Active
169,West Park Long Term Care Centre,Toronto,200,57,20,31,Active
170,Weston Terrace Care Community,Toronto,224,42,13,29,Active
171,Wikwemikong Nursing Home,Wikwemikong,59,<5,0,0,Active
172,Woodbridge Vista Care Community,Woodbridge,224,<5,0,<5,Active
173,Woodland Villa,Long Sault,111,<5,0,0,Active
0,"Albright Gardens Homes, Incorporated",Beamsville,231,,0,,inactive
1,Allendale,Milton,200,,0,,inactive
2,Bay Ridges,Pickering,124,,0,,inactive
3,Belmont Long Term Care Facility,Belleville,128,,0,,inactive
4,Caressant Care Fergus Nursing Home,Fergus,87,,0,,inactive
5,Caressant Care on Bonnie Place,St Thomas,116,,0,,inactive
6,Case Manor Care Community,Bobcaygeon,96,,0,,inactive
7,Centre d'Accueil Roger Seguin,Clarence Creek,113,,0,,inactive
8,Chartwell Elmira Long Term Care Residence,Elmira,48,,0,,inactive
9,Chelsey Park,London,247,,0,,inactive
10,Clarion Nursing Home,Stoney Creek,100,,0,,inactive
11,Douglas H. Rapelje Lodge,Welland,120,,0,,inactive
12,Ehatare Nursing Home,Scarborough,32,,0,,inactive
13,Extendicare Lakefield,Lakefield,100,,0,,inactive
14,Extendicare Rouge Valley,Toronto,192,,0,,inactive
15,Extendicare Timmins,Timmins,180,,0,,inactive
16,Fairview Lodge,Whitby,198,,0,,inactive
17,Garden City Manor,St. Catharines,200,,0,,inactive
18,Grace Villa Nursing Home,Hamilton,184,,0,,inactive
19,Hallowell House,Picton,97,,0,,inactive
20,Hampton Terrace Care Centre,Burlington,101,,0,,inactive
21,Hillsdale Terraces,Oshawa,200,,13,,inactive
22,Hillside Manor,Stratford,90,,0,,inactive
23,IOOF Seniors Home,Barrie,182,,0,,inactive
24,Lakeview Manor,Beaverton,149,,0,,inactive
25,Lambton Meadowview Villa,Petrolia,125,,0,,inactive
26,Macassa Lodge,Hamilton,270,,0,,inactive
27,Maple View,Owen Sound,29,,0,,inactive
28,Miramichi Lodge,Pembroke,166,,0,,inactive
29,Moira Place Long-Term Care Home,Tweed,128,,0,,inactive
30,Mount Hope Centre for Long Term Care,London,394,,0,,inactive
31,Northridge,Oakville,133,,0,,inactive
32,Norview Lodge,Simcoe,179,,0,,inactive
33,Providence Healthcare,Scarborough,288,,<5,,inactive
34,Providence Manor,Kingston,243,,0,,inactive
35,Riverside Place,Windsor,96,,0,,inactive
36,Riverview Manor Nursing Home,Peterborough,124,,0,,inactive
37,Rosebridge Manor,Jasper,78,,0,,inactive
38,Saint Luke's Place,Cambridge,114,,0,,inactive
39,Shalom Manor Long Term Care Home,Grimsby,144,,0,,inactive
40,Shepherd Lodge,Toronto,252,,0,,inactive
41,Spencer House,Orillia,160,,0,,inactive
42,Sprucedale Care Centre,Strathroy,96,,0,,inactive
43,St. Andrew's Terrace Long Term Care Community,Cambridge,128,,0,,inactive
44,"St. Joseph's Villa, Dundas",Dundas,425,,0,,inactive
45,Stirling Heights,Cambridge,110,,0,,inactive
46,Sumac Lodge,Sarnia,100,,0,,inactive
47,Tendercare Living Centre,Scarborough,254,,<5,,inactive
48,The Wexford,Scarborough,166,,0,,inactive
49,The Woodlands of Sunset,Welland,121,,0,,inactive
50,Villa Marconi,Ottawa,128,,0,,inactive
